Omega Sweep Harness S51 X3 -- pairwise 2-factor (490 combos/engine)
ticks: /Users/jo/Tick/duka_ticks/XAUUSD_2024-03_2026-04_combined.csv
n_ticks: 154265439
wall_time: 997.7s (16.6 min)

========== HBG top-50 by score ==========
combo  min_range max_range sl_frac   tp_rr     trail_frac  trades   wr%  total_pnl   stddev_q      score
343    6.0000    25.0000   0.2500    1.0000    0.2500         44  70.5       0.47     0.1616     0.4032
43     12.0000   15.7490   0.5000    2.0000    0.2500         10  80.0       0.32     0.1182     0.2820
86     9.5244    25.0000   0.3969    2.0000    0.2500         27  59.3       0.33     0.2447     0.2669
85     9.5244    25.0000   0.3150    2.0000    0.2500         27  55.6       0.28     0.2274     0.2296
29     7.5595    15.7490   0.5000    2.0000    0.2500         29  62.1       0.21     0.1042     0.1913
35     9.5244    12.5000   0.5000    2.0000    0.2500          6  66.7       0.20     0.0845     0.1800
260    6.0000    19.8425   0.5000    1.2599    0.2500         42  66.7       0.20     0.1350     0.1719
28     7.5595    12.5000   0.5000    2.0000    0.2500         19  63.2       0.19     0.1519     0.1675
51     3.0000    25.0000   0.3969    2.0000    0.2500         58  55.2       0.20     0.2265     0.1594
251    6.0000    12.5000   0.5000    4.0000    0.2500         35  60.0       0.19     0.2246     0.1525
134    9.5244    25.0000   0.5000    1.2599    0.2500         27  63.0       0.19     0.2475     0.1525
253    6.0000    15.7490   0.5000    1.2599    0.2500         40  62.5       0.18     0.1959     0.1523
250    6.0000    12.5000   0.5000    3.1748    0.2500         35  60.0       0.16     0.2155     0.1356
348    6.0000    25.0000   0.2500    3.1748    0.2500         48  47.9       0.17     0.2379     0.1337
259    6.0000    19.8425   0.5000    1.0000    0.2500         42  69.0       0.15     0.1357     0.1334
36     9.5244    15.7490   0.5000    2.0000    0.2500         18  61.1       0.15     0.1094     0.1316
135    9.5244    25.0000   0.5000    1.5874    0.2500         27  59.3       0.17     0.2762     0.1310
347    6.0000    25.0000   0.2500    2.5198    0.2500         48  50.0       0.15     0.1842     0.1275
252    6.0000    15.7490   0.5000    1.0000    0.2500         40  65.0       0.15     0.1880     0.1265
113    4.7622    25.0000   0.5000    1.2599    0.2500         50  64.0       0.16     0.2376     0.1254
258    6.0000    15.7490   0.5000    4.0000    0.2500         40  60.0       0.15     0.2194     0.1243
204    6.0000    15.7490   0.3150    2.0000    0.2500         40  50.0       0.13     0.1431     0.1147
203    6.0000    15.7490   0.2500    2.0000    0.2500         40  50.0       0.13     0.1262     0.1147
106    3.7798    25.0000   0.5000    1.2599    0.2500         57  63.2       0.14     0.2337     0.1143
114    4.7622    25.0000   0.5000    1.5874    0.2500         50  60.0       0.14     0.2800     0.1085
79     7.5595    25.0000   0.3969    2.0000    0.2500         36  58.3       0.13     0.2227     0.1078
257    6.0000    15.7490   0.5000    3.1748    0.2500         40  60.0       0.13     0.2108     0.1071
78     7.5595    25.0000   0.3150    2.0000    0.2500         36  55.6       0.13     0.2093     0.1037
211    6.0000    19.8425   0.3150    2.0000    0.2500         43  53.5       0.11     0.0978     0.1007
84     9.5244    25.0000   0.2500    2.0000    0.2500         27  51.9       0.12     0.1903     0.0970
107    3.7798    25.0000   0.5000    1.5874    0.2500         57  61.4       0.12     0.2748     0.0965
65     4.7622    25.0000   0.3969    2.0000    0.2500         50  54.0       0.11     0.2056     0.0939
249    6.0000    12.5000   0.5000    2.5198    0.2500         35  60.0       0.11     0.1930     0.0922
212    6.0000    19.8425   0.3969    2.0000    0.2500         43  58.1       0.10     0.1577     0.0899
205    6.0000    15.7490   0.3969    2.0000    0.2500         40  55.0       0.10     0.1569     0.0886
295    6.0000    12.5000   0.5000    2.0000    0.1575         35  60.0       0.10     0.1876     0.0813
265    6.0000    19.8425   0.5000    4.0000    0.2500         42  64.3       0.10     0.2403     0.0807
77     7.5595    25.0000   0.2500    2.0000    0.2500         36  55.6       0.09     0.1915     0.0793
261    6.0000    19.8425   0.5000    1.5874    0.2500         42  64.3       0.09     0.1784     0.0775
100    3.0000    25.0000   0.5000    1.5874    0.2500         59  61.0       0.09     0.2659     0.0725
42     12.0000   12.5000   0.5000    2.0000    0.2500          5  60.0       0.08     0.1009     0.0721
21     6.0000    12.5000   0.5000    2.0000    0.2500         35  60.0       0.09     0.1830     0.0721
296    6.0000    12.5000   0.5000    2.0000    0.1984         35  60.0       0.09     0.1830     0.0721
297    6.0000    12.5000   0.5000    2.0000    0.2500         35  60.0       0.09     0.1830     0.0721
298    6.0000    12.5000   0.5000    2.0000    0.3150         35  60.0       0.09     0.1830     0.0721
199    6.0000    12.5000   0.5000    2.0000    0.2500         35  60.0       0.09     0.1830     0.0721
299    6.0000    12.5000   0.5000    2.0000    0.3969         35  60.0       0.09     0.1830     0.0721
300    6.0000    12.5000   0.5000    2.0000    0.5000         35  60.0       0.09     0.1830     0.0721
248    6.0000    12.5000   0.5000    2.0000    0.2500         35  60.0       0.09     0.1830     0.0721
344    6.0000    25.0000   0.2500    1.2599    0.2500         47  59.6       0.09     0.2389     0.0709

========== EMACross top-50 by score ==========
combo  fast_period slow_period rsi_lo    rsi_hi    sl_mult    trades   wr%  total_pnl   stddev_q      score
256    9.0000    9.0000    40.0000   62.9961   1.5000          0   0.0       0.00     0.0000     0.0000
302    9.0000    9.0000    40.0000   50.0000   0.9449          0   0.0       0.00     0.0000     0.0000
252    9.0000    9.0000    40.0000   25.0000   1.5000          0   0.0       0.00     0.0000     0.0000
253    9.0000    9.0000    40.0000   31.4980   1.5000          0   0.0       0.00     0.0000     0.0000
208    9.0000    9.0000    63.4960   50.0000   1.5000          0   0.0       0.00     0.0000     0.0000
