rank,combo_id,COOLDOWN_S,SAME_LEVEL_POST_WIN_BLOCK_S,SAME_LEVEL_POST_SL_BLOCK_S,MIN_ENTRY_TICKS,MAX_SPREAD,n_trades,n_wins,win_rate,trades_per_day,gross_pnl,net_pnl,avg_hold_s,profit_factor,avg_mfe,avg_mae,max_dd,n_TP,n_BE,n_TRAIL,n_SL
170,64,90,600,300,30,2.5000,101,63,0.6238,6.5792,-14.2900,-70.4300,203.9505,0.7435,3.8207,-3.5937,104.7400,0,0,67,34
171,79,270,600,600,30,2.5000,95,60,0.6316,6.1883,-18.8850,-73.3950,204.4000,0.7141,3.7368,-3.5508,95.9350,0,0,64,31
172,401,180,600,300,30,2.0000,99,62,0.6263,6.4489,-13.9250,-71.9150,207.7576,0.7293,3.7880,-3.6240,101.5050,0,0,66,33
173,236,180,1200,1800,30,2.5000,80,48,0.6000,5.1962,-38.5500,-87.8300,243.7000,0.5979,3.5758,-3.5916,104.1000,0,0,52,28
174,233,180,1200,600,30,2.5000,83,51,0.6145,5.3911,-31.8950,-84.1650,244.0361,0.6254,3.6369,-3.6228,104.6750,0,0,55,28
175,395,180,600,120,30,2.5000,101,62,0.6139,6.5792,-14.5750,-73.0050,211.5644,0.7227,3.7441,-3.5900,95.2050,0,0,68,33
176,217,180,600,120,30,2.5000,101,62,0.6139,6.5792,-14.5750,-73.0050,211.5644,0.7227,3.7441,-3.5900,95.2050,0,0,68,33
177,343,180,600,120,10,2.5000,101,62,0.6139,6.5792,-14.5750,-73.0050,211.5644,0.7227,3.7441,-3.5900,95.2050,0,0,68,33
178,344,180,600,120,15,2.5000,101,62,0.6139,6.5792,-14.5750,-73.0050,211.5644,0.7227,3.7441,-3.5900,95.2050,0,0,68,33
179,70,180,600,120,30,2.5000,101,62,0.6139,6.5792,-14.5750,-73.0050,211.5644,0.7227,3.7441,-3.5900,95.2050,0,0,68,33
180,349,180,600,120,90,2.5000,101,62,0.6139,6.5792,-14.5750,-73.0050,211.5644,0.7227,3.7441,-3.5900,95.2050,0,0,68,33
181,348,180,600,120,60,2.5000,101,62,0.6139,6.5792,-14.5750,-73.0050,211.5644,0.7227,3.7441,-3.5900,95.2050,0,0,68,33
182,345,180,600,120,20,2.5000,101,62,0.6139,6.5792,-14.5750,-73.0050,211.5644,0.7227,3.7441,-3.5900,95.2050,0,0,68,33
183,347,180,600,120,45,2.5000,101,62,0.6139,6.5792,-14.5750,-73.0050,211.5644,0.7227,3.7441,-3.5900,95.2050,0,0,68,33
184,346,180,600,120,30,2.5000,101,62,0.6139,6.5792,-14.5750,-73.0050,211.5644,0.7227,3.7441,-3.5900,95.2050,0,0,68,33
185,40,360,1200,900,30,2.5000,82,50,0.6098,5.3261,-35.2750,-86.2550,243.3415,0.6121,3.5688,-3.6209,102.5250,0,0,54,28
186,394,180,600,120,30,2.0000,101,63,0.6238,6.5792,-15.2250,-73.2150,211.7129,0.7221,3.7482,-3.5980,94.0250,0,0,68,33
187,309,180,300,900,30,1.5000,101,64,0.6337,6.5792,-10.7800,-76.8900,199.1683,0.6877,3.5517,-3.4645,85.1250,0,0,70,31
188,196,180,60,120,30,2.5000,123,78,0.6341,7.9892,9.2000,-69.3000,226.1789,0.7638,3.7236,-3.4455,123.9250,0,0,87,36
189,203,180,180,120,30,2.5000,123,78,0.6341,7.9892,9.2000,-69.3000,226.1789,0.7638,3.7236,-3.4455,123.9250,0,0,87,36
190,12,60,1200,900,30,2.5000,86,53,0.6163,5.5859,-31.6600,-83.7000,241.5930,0.6357,3.6835,-3.7356,103.3000,0,0,57,29
191,5,30,1200,900,30,2.5000,86,53,0.6163,5.5859,-31.6600,-83.7000,241.5930,0.6357,3.6835,-3.7356,103.3000,0,0,57,29
