rank,combo_id,COOLDOWN_S,SAME_LEVEL_POST_WIN_BLOCK_S,SAME_LEVEL_POST_SL_BLOCK_S,MIN_ENTRY_TICKS,MAX_SPREAD,n_trades,n_wins,win_rate,trades_per_day,gross_pnl,net_pnl,avg_hold_s,profit_factor,avg_mfe,avg_mae,max_dd,n_TP,n_BE,n_TRAIL,n_SL
52,8,60,180,900,30,2.5000,110,72,0.6545,7.1448,3.0500,-60.0700,237.0091,0.7735,3.7750,-3.5965,92.6350,0,0,77,33
53,210,180,300,120,30,2.5000,112,73,0.6518,7.2957,4.8250,-59.9250,202.1964,0.7782,3.7079,-3.4577,101.2700,0,0,78,34
54,302,180,180,900,30,1.5000,110,70,0.6364,7.1448,10.5850,-61.4450,225.8000,0.7637,3.7472,-3.3689,100.6550,0,0,78,32
55,295,180,60,900,30,1.5000,110,70,0.6364,7.1448,10.5850,-61.4450,225.8000,0.7637,3.7472,-3.3689,100.6550,0,0,78,32
56,433,180,600,1800,30,5.0000,92,58,0.6304,5.9930,-3.9500,-64.9300,219.1304,0.7254,3.6809,-3.5031,89.0550,0,0,63,29
57,432,180,600,1800,30,3.5000,92,58,0.6304,5.9930,-3.9500,-64.9300,219.1304,0.7254,3.6809,-3.5031,89.0550,0,0,63,29
58,223,180,600,2700,30,2.5000,86,53,0.6163,5.6021,-15.7400,-65.9000,200.0000,0.7168,3.7261,-3.6158,86.4200,0,0,58,28
59,76,180,600,2700,30,2.5000,86,53,0.6163,5.6021,-15.7400,-65.9000,200.0000,0.7168,3.7261,-3.6158,86.4200,0,0,58,28
60,388,180,600,2700,30,2.5000,86,53,0.6163,5.6021,-15.7400,-65.9000,200.0000,0.7168,3.7261,-3.6158,86.4200,0,0,58,28
61,387,180,600,2700,20,2.5000,86,53,0.6163,5.6021,-15.7400,-65.9000,200.0000,0.7168,3.7261,-3.6158,86.4200,0,0,58,28
62,437,180,600,2700,30,2.5000,86,53,0.6163,5.6021,-15.7400,-65.9000,200.0000,0.7168,3.7261,-3.6158,86.4200,0,0,58,28
63,389,180,600,2700,45,2.5000,86,53,0.6163,5.6021,-15.7400,-65.9000,200.0000,0.7168,3.7261,-3.6158,86.4200,0,0,58,28
64,390,180,600,2700,60,2.5000,86,53,0.6163,5.6021,-15.7400,-65.9000,200.0000,0.7168,3.7261,-3.6158,86.4200,0,0,58,28
65,386,180,600,2700,15,2.5000,86,53,0.6163,5.6021,-15.7400,-65.9000,200.0000,0.7168,3.7261,-3.6158,86.4200,0,0,58,28
66,385,180,600,2700,10,2.5000,86,53,0.6163,5.6021,-15.7400,-65.9000,200.0000,0.7168,3.7261,-3.6158,86.4200,0,0,58,28
67,391,180,600,2700,90,2.5000,86,53,0.6163,5.6021,-15.7400,-65.9000,200.0000,0.7168,3.7261,-3.6158,86.4200,0,0,58,28
68,61,60,600,1800,30,2.5000,91,57,0.6264,5.9278,-9.8450,-64.5650,206.9451,0.7317,3.8164,-3.5538,91.8800,0,0,61,30
69,54,30,600,1800,30,2.5000,91,57,0.6264,5.9278,-9.8450,-64.5650,206.9451,0.7317,3.8164,-3.5538,91.8800,0,0,61,30
70,436,180,600,2700,30,2.0000,86,54,0.6279,5.6021,-16.3900,-66.1100,200.1744,0.7161,3.7310,-3.6252,85.2400,0,0,58,28
71,95,540,600,1200,30,2.5000,92,58,0.6304,5.9929,-11.8650,-65.0450,218.3804,0.7298,3.8052,-3.5729,97.8650,0,0,62,30
72,431,180,600,1800,30,3.0000,92,58,0.6304,5.9929,-3.6200,-65.9500,219.2065,0.7211,3.6882,-3.5022,88.8250,0,0,63,29
73,205,180,180,600,30,2.5000,113,72,0.6372,7.3397,10.4750,-61.7850,238.1150,0.7708,3.7839,-3.4129,109.2600,0,0,80,33
74,198,180,60,600,30,2.5000,113,72,0.6372,7.3397,10.4750,-61.7850,238.1150,0.7708,3.7839,-3.4129,109.2600,0,0,80,33
75,16,90,300,900,30,2.5000,101,67,0.6634,6.5792,-10.3500,-66.0000,204.8713,0.7294,3.6129,-3.5563,78.7650,0,0,70,31
76,422,180,600,1200,30,2.0000,92,58,0.6304,5.9929,-11.2450,-66.1050,199.8261,0.7294,3.7683,-3.5380,94.3300,0,0,62,30
77,372,180,600,1200,15,2.5000,92,57,0.6196,5.9929,-10.9650,-66.2650,199.8587,0.7285,3.7712,-3.5308,95.8800,0,0,62,30
78,377,180,600,1200,90,2.5000,92,57,0.6196,5.9929,-10.9650,-66.2650,199.8587,0.7285,3.7712,-3.5308,95.8800,0,0,62,30
79,74,180,600,1200,30,2.5000,92,57,0.6196,5.9929,-10.9650,-66.2650,199.8587,0.7285,3.7712,-3.5308,95.8800,0,0,62,30
80,371,180,600,1200,10,2.5000,92,57,0.6196,5.9929,-10.9650,-66.2650,199.8587,0.7285,3.7712,-3.5308,95.8800,0,0,62,30
81,373,180,600,1200,20,2.5000,92,57,0.6196,5.9929,-10.9650,-66.2650,199.8587,0.7285,3.7712,-3.5308,95.8800,0,0,62,30
82,376,180,600,1200,60,2.5000,92,57,0.6196,5.9929,-10.9650,-66.2650,199.8587,0.7285,3.7712,-3.5308,95.8800,0,0,62,30
83,374,180,600,1200,30,2.5000,92,57,0.6196,5.9929,-10.9650,-66.2650,199.8587,0.7285,3.7712,-3.5308,95.8800,0,0,62,30
84,221,180,600,1200,30,2.5000,92,57,0.6196,5.9929,-10.9650,-66.2650,199.8587,0.7285,3.7712,-3.5308,95.8800,0,0,62,30
85,423,180,600,1200,30,2.5000,92,57,0.6196,5.9929,-10.9650,-66.2650,199.8587,0.7285,3.7712,-3.5308,95.8800,0,0,62,30
86,375,180,600,1200,45,2.5000,92,57,0.6196,5.9929,-10.9650,-66.2650,199.8587,0.7285,3.7712,-3.5308,95.8800,0,0,62,30
87,46,540,900,900,30,2.5000,85,53,0.6235,5.5369,-18.2900,-71.8300,208.6353,0.6727,3.6735,-3.5092,87.5300,0,0,57,28
88,2,30,300,900,30,2.5000,101,67,0.6634,6.5792,-10.7700,-66.4200,209.3069,0.7277,3.6148,-3.6515,79.1850,0,0,70,31
89,9,60,300,900,30,2.5000,101,67,0.6634,6.5792,-10.7700,-66.4200,209.3069,0.7277,3.6148,-3.6515,79.1850,0,0,70,31
90,329,180,1200,900,30,1.0000,80,51,0.6375,5.1962,-41.5700,-76.7000,245.3750,0.6456,3.6229,-3.6578,92.3000,0,0,52,28
91,310,180,300,900,30,2.0000,101,67,0.6634,6.5792,-9.3350,-68.7250,201.7327,0.7209,3.5729,-3.4795,80.1000,0,0,70,31
92,213,180,300,900,30,2.5000,101,66,0.6535,6.5792,-9.0550,-68.8850,201.7525,0.7201,3.5755,-3.4699,81.6500,0,0,70,31
93,261,180,300,900,20,2.5000,101,66,0.6535,6.5792,-9.0550,-68.8850,201.7525,0.7201,3.5755,-3.4699,81.6500,0,0,70,31
94,259,180,300,900,10,2.5000,101,66,0.6535,6.5792,-9.0550,-68.8850,201.7525,0.7201,3.5755,-3.4699,81.6500,0,0,70,31
95,264,180,300,900,60,2.5000,101,66,0.6535,6.5792,-9.0550,-68.8850,201.7525,0.7201,3.5755,-3.4699,81.6500,0,0,70,31
96,260,180,300,900,15,2.5000,101,66,0.6535,6.5792,-9.0550,-68.8850,201.7525,0.7201,3.5755,-3.4699,81.6500,0,0,70,31
97,263,180,300,900,45,2.5000,101,66,0.6535,6.5792,-9.0550,-68.8850,201.7525,0.7201,3.5755,-3.4699,81.6500,0,0,70,31
98,262,180,300,900,30,2.5000,101,66,0.6535,6.5792,-9.0550,-68.8850,201.7525,0.7201,3.5755,-3.4699,81.6500,0,0,70,31
99,265,180,300,900,90,2.5000,101,66,0.6535,6.5792,-9.0550,-68.8850,201.7525,0.7201,3.5755,-3.4699,81.6500,0,0,70,31
100,311,180,300,900,30,2.5000,101,66,0.6535,6.5792,-9.0550,-68.8850,201.7525,0.7201,3.5755,-3.4699,81.6500,0,0,70,31
