kind,sb,hb,n,n_wins,sum_winner,sum_loser
J,0,0,0,0,0.0,0.0
J,0,1,0,0,0.0,0.0
J,0,2,0,0,0.0,0.0
J,0,3,0,0,0.0,0.0
J,0,4,0,0,0.0,0.0
J,0,5,0,0,0.0,0.0
J,0,6,0,0,0.0,0.0
J,0,7,0,0,0.0,0.0
J,0,8,1,1,2.4415,0.0
J,0,9,1,1,2.4665,0.0
J,0,10,0,0,0.0,0.0
J,0,11,1,1,5.4985,0.0
J,0,12,7,5,10.867999999999999,-14.362
J,0,13,3,2,4.881,-6.7575
J,0,14,7,3,7.432499999999999,-27.676000000000002
J,0,15,1,1,2.425,0.0
J,0,16,2,2,4.955,0.0
J,0,17,4,2,4.965,-13.151499999999999
J,0,18,0,0,0.0,0.0
J,0,19,4,3,9.495,-6.737
J,0,20,2,2,7.915,0.0
J,0,21,3,3,6.4445,0.0
J,0,22,0,0,0.0,0.0
J,0,23,0,0,0.0,0.0
J,1,0,0,0,0.0,0.0
J,1,1,0,0,0.0,0.0
J,1,2,0,0,0.0,0.0
J,1,3,0,0,0.0,0.0
J,1,4,0,0,0.0,0.0
J,1,5,0,0,0.0,0.0
J,1,6,30,22,56.233000000000004,-55.663000000000004
J,1,7,29,20,67.24900000000001,-65.41599999999998
J,1,8,33,26,90.9795,-49.572
J,1,9,23,15,40.26349999999999,-56.7355
J,1,10,24,19,45.612,-36.115
J,1,11,26,16,63.97,-71.955
J,1,12,47,32,89.70599999999999,-106.49600000000001
J,1,13,51,34,99.06599999999997,-127.20949999999999
J,1,14,80,53,147.44150000000002,-188.29100000000003
J,1,15,64,41,112.9545,-164.1135
J,1,16,40,29,72.72300000000001,-75.49499999999999
J,1,17,29,22,55.6975,-47.27
J,1,18,32,14,32.893,-136.89649999999997
J,1,19,36,26,92.57250000000002,-76.8885
J,1,20,42,30,97.09100000000001,-86.54199999999999
J,1,21,23,14,47.0625,-64.5575
J,1,22,0,0,0.0,0.0
J,1,23,0,0,0.0,0.0
J,2,0,0,0,0.0,0.0
J,2,1,0,0,0.0,0.0
J,2,2,0,0,0.0,0.0
J,2,3,0,0,0.0,0.0
J,2,4,0,0,0.0,0.0
J,2,5,0,0,0.0,0.0
