ts_ms,engine,side,pnl_usd
1776841226000,AsianRange,LONG,3.60
1776861744000,TurtleTick,SHORT,1.44
1776865213000,VWAPStretchReversion,LONG,0.72
1776865604000,TurtleTick,LONG,-10.56
1776866595000,VWAPStretchReversion,LONG,-15.84
1776866736000,SessionMomentum,SHORT,-5.28
1776868350000,TurtleTick,SHORT,2.16
1776870000000,LondonFixMomentum,SHORT,-1.38
1776876061000,VWAPStretchReversion,LONG,-7.40
1776890087000,DXYDivergence,LONG,-12.50
