rank,combo_id,tag,MAX_SPREAD,TRAIL_FRAC,MFE_TRAIL_FRAC,TP_RR,SL_FRAC,n_trades,n_wins,WR_pct,net_usd,gross_usd,cost_usd,mean_net,PF,max_dd_usd,tp_count,trail_count,sl_count,be_count
133,134,0,0.00040,0.250,0.550,2.000,0.800,926,451,48.70,-4032.52,-880.72,3151.80,-4.3548,0.2953,4032.67,5,615,306,0
134,43,0,0.00020,0.250,0.400,2.000,0.800,929,582,62.65,-4036.24,-896.74,3139.50,-4.3447,0.2916,4037.89,3,618,308,0
135,163,0,0.00050,0.250,0.400,2.000,0.800,936,583,62.29,-4039.72,-849.42,3190.30,-4.3159,0.2929,4041.27,5,621,310,0
136,74,0,0.00025,0.250,0.550,2.000,0.800,925,450,48.65,-4039.96,-900.36,3139.60,-4.3675,0.2931,4040.11,4,615,306,0
137,175,0,0.00050,0.400,0.700,2.000,0.800,907,298,32.86,-4044.68,-947.78,3096.90,-4.4594,0.3191,4044.68,22,581,304,0
138,115,0,0.00030,0.400,0.700,2.000,0.800,907,299,32.97,-4050.81,-965.71,3085.10,-4.4662,0.3174,4050.81,22,581,304,0
139,133,0,0.00040,0.250,0.400,2.000,0.800,935,583,62.35,-4051.82,-872.32,3179.50,-4.3335,0.2938,4053.37,5,619,311,0
140,145,0,0.00040,0.400,0.700,2.000,0.800,906,302,33.33,-4051.98,-967.58,3084.40,-4.4724,0.3201,4051.98,22,579,305,0
141,44,0,0.00020,0.250,0.550,2.000,0.800,922,451,48.92,-4053.04,-934.24,3118.80,-4.3959,0.2910,4053.29,3,614,305,0
142,85,0,0.00025,0.400,0.700,2.000,0.800,904,296,32.74,-4057.62,-987.72,3069.90,-4.4885,0.3172,4057.62,21,578,305,0
143,73,0,0.00025,0.250,0.400,2.000,0.800,934,583,62.42,-4057.71,-889.31,3168.40,-4.3444,0.2917,4059.26,4,619,311,0
144,119,0,0.00030,0.550,0.550,2.000,0.800,913,392,42.94,-4063.85,-958.95,3104.90,-4.4511,0.2732,4064.00,24,590,299,0
145,19,0,0.00015,0.300,0.550,2.000,0.800,918,392,42.70,-4065.41,-964.31,3101.10,-4.4286,0.2817,4065.66,8,606,304,0
146,55,0,0.00020,0.400,0.700,2.000,0.800,903,297,32.89,-4066.36,-1010.66,3055.70,-4.5032,0.3145,4066.36,21,578,304,0
147,25,0,0.00015,0.400,0.700,2.000,0.800,900,296,32.89,-4068.87,-1024.67,3044.20,-4.5210,0.3086,4068.87,21,577,302,0
148,169,0,0.00050,0.300,0.550,2.000,0.800,926,394,42.55,-4069.02,-905.32,3163.70,-4.3942,0.2910,4069.17,9,610,307,0
149,109,0,0.00030,0.300,0.550,2.000,0.800,926,394,42.55,-4071.15,-920.45,3150.70,-4.3965,0.2892,4071.30,9,610,307,0
150,149,0,0.00040,0.550,0.550,2.000,0.800,912,394,43.20,-4074.82,-969.22,3105.60,-4.4680,0.2750,4074.97,24,588,300,0
151,49,0,0.00020,0.300,0.550,2.000,0.800,922,395,42.84,-4074.84,-955.04,3119.80,-4.4196,0.2887,4075.09,7,608,307,0
152,139,0,0.00040,0.300,0.550,2.000,0.800,925,394,42.59,-4075.07,-923.77,3151.30,-4.4055,0.2926,4075.22,9,608,308,0
153,113,0,0.00030,0.400,0.400,2.000,0.800,937,588,62.75,-4082.52,-902.62,3179.90,-4.3570,0.2772,4084.07,8,621,308,0
154,50,0,0.00020,0.300,0.700,2.000,0.800,915,370,40.44,-4087.24,-991.84,3095.40,-4.4669,0.2997,4087.24,7,602,306,0
155,179,0,0.00050,0.550,0.550,2.000,0.800,913,391,42.83,-4088.87,-970.37,3118.50,-4.4785,0.2720,4089.02,24,589,300,0
156,53,0,0.00020,0.400,0.400,2.000,0.800,932,584,62.66,-4096.07,-948.87,3147.20,-4.3949,0.2767,4097.72,7,617,308,0
157,13,0,0.00015,0.250,0.400,2.000,0.800,927,581,62.68,-4099.86,-970.26,3129.60,-4.4227,0.2802,4101.51,4,613,310,0
158,79,0,0.00025,0.300,0.550,2.000,0.800,924,394,42.64,-4104.96,-966.16,3138.80,-4.4426,0.2892,4105.11,8,607,309,0
159,89,0,0.00025,0.550,0.550,2.000,0.800,911,392,43.03,-4104.96,-1011.96,3093.00,-4.5060,0.2719,4105.11,23,587,301,0
160,173,0,0.00050,0.400,0.400,2.000,0.800,937,586,62.54,-4104.99,-913.09,3191.90,-4.3810,0.2772,4106.54,8,620,309,0
161,170,0,0.00050,0.300,0.700,2.000,0.800,920,369,40.11,-4108.57,-968.37,3140.20,-4.4658,0.3011,4108.57,9,603,308,0
162,110,0,0.00030,0.300,0.700,2.000,0.800,920,369,40.11,-4111.95,-983.15,3128.80,-4.4695,0.2993,4111.95,9,603,308,0
163,143,0,0.00040,0.400,0.400,2.000,0.800,936,586,62.61,-4113.99,-933.19,3180.80,-4.3953,0.2787,4115.54,8,618,310,0
164,140,0,0.00040,0.300,0.700,2.000,0.800,919,370,40.26,-4115.72,-987.42,3128.30,-4.4785,0.3023,4115.72,9,601,309,0
165,83,0,0.00025,0.400,0.400,2.000,0.800,935,586,62.67,-4122.13,-952.23,3169.90,-4.4087,0.2762,4123.68,7,618,310,0
166,108,0,0.00030,0.300,0.400,2.000,0.800,933,581,62.27,-4122.85,-953.95,3168.90,-4.4189,0.2791,4124.40,5,617,311,0
167,48,0,0.00020,0.300,0.400,2.000,0.800,927,577,62.24,-4122.94,-990.14,3132.80,-4.4476,0.2788,4124.59,3,614,310,0
168,80,0,0.00025,0.300,0.700,2.000,0.800,917,369,40.24,-4127.91,-1014.11,3113.80,-4.5015,0.3001,4127.91,8,600,309,0
169,20,0,0.00015,0.300,0.700,2.000,0.800,912,367,40.24,-4138.91,-1055.61,3083.30,-4.5383,0.2889,4138.91,8,599,305,0
170,168,0,0.00050,0.300,0.400,2.000,0.800,933,579,62.06,-4141.87,-961.17,3180.70,-4.4393,0.2796,4143.42,5,616,312,0
171,138,0,0.00040,0.300,0.400,2.000,0.800,932,579,62.12,-4155.17,-985.27,3169.90,-4.4583,0.2804,4156.72,5,614,313,0
172,0,1,0.00025,0.300,0.400,2.000,0.800,931,579,62.19,-4159.46,-1000.46,3159.00,-4.4677,0.2786,4161.01,4,614,313,0
173,78,0,0.00025,0.300,0.400,2.000,0.800,931,579,62.19,-4159.46,-1000.46,3159.00,-4.4677,0.2786,4161.01,4,614,313,0
174,23,0,0.00015,0.400,0.400,2.000,0.800,929,583,62.76,-4172.88,-1038.68,3134.20,-4.4918,0.2656,4174.53,7,612,310,0
175,18,0,0.00015,0.300,0.400,2.000,0.800,924,576,62.34,-4204.86,-1084.96,3119.90,-4.5507,0.2669,4206.51,4,608,312,0
176,118,0,0.00030,0.550,0.400,2.000,0.800,937,583,62.22,-4215.71,-1034.61,3181.10,-4.4992,0.2649,4217.26,9,615,313,0
177,58,0,0.00020,0.550,0.400,2.000,0.800,932,579,62.12,-4231.01,-1082.21,3148.80,-4.5397,0.2640,4232.66,8,611,313,0
178,148,0,0.00040,0.550,0.400,2.000,0.800,936,581,62.07,-4254.83,-1072.43,3182.40,-4.5458,0.2648,4256.38,9,612,315,0
179,88,0,0.00025,0.550,0.400,2.000,0.800,935,581,62.14,-4258.77,-1087.27,3171.50,-4.5548,0.2633,4260.32,8,612,315,0
180,178,0,0.00050,0.550,0.400,2.000,0.800,937,580,61.90,-4263.38,-1069.88,3193.50,-4.5500,0.2624,4264.93,9,613,315,0
181,28,0,0.00015,0.550,0.400,2.000,0.800,929,579,62.33,-4284.82,-1149.12,3135.70,-4.6123,0.2550,4286.47,8,607,314,0
