rank,combo_id,TP_RR,SL_FRAC,TRAIL_FRAC,MFE_TRAIL_FRAC,n_trades,n_wins,WR_pct,net_usd,gross_usd,cost_usd,mean_net,PF,max_dd,tp_count,trail_count,sl_count,be_count,oos_trades,oos_wins,oos_WR_pct,oos_net_usd
38,114,2.50,0.80,0.45,0.30,950,620,65.26,-3900.65,-683.95,3216.70,-4.1059,0.3138,3903.20,4,637,309,0,225,138,61.33,-1068.25
39,153,3.00,0.80,0.20,0.30,945,615,65.08,-3901.45,-700.85,3200.60,-4.1285,0.3156,3904.00,1,635,309,0,224,139,62.05,-1015.25
40,108,2.50,0.80,0.20,0.30,945,615,65.08,-3908.75,-708.15,3200.60,-4.1362,0.3143,3911.30,1,635,309,0,224,139,62.05,-1015.25
41,161,3.00,0.80,0.45,0.55,908,394,43.39,-3909.75,-834.15,3075.60,-4.3059,0.2884,3910.00,4,610,294,0,219,95,43.38,-1093.30
42,50,2.00,0.60,0.30,0.55,944,380,40.25,-3909.79,-723.29,3186.50,-4.1417,0.2880,3910.04,23,565,356,0,223,93,41.70,-1005.72
43,63,2.00,0.80,0.20,0.30,945,615,65.08,-3910.69,-710.09,3200.60,-4.1383,0.3140,3913.24,3,633,309,0,224,139,62.05,-1015.25
44,69,2.00,0.80,0.45,0.30,950,620,65.26,-3914.71,-698.01,3216.70,-4.1207,0.3113,3917.26,7,634,309,0,225,138,61.33,-1074.85
45,172,3.00,1.00,0.20,0.40,908,596,65.64,-3915.30,-842.70,3072.60,-4.3120,0.3182,3929.80,1,640,267,0,221,142,64.25,-1124.95
46,39,1.50,1.00,0.30,0.30,916,625,68.23,-3916.35,-810.25,3106.10,-4.2755,0.3239,3933.65,8,639,269,0,222,143,64.41,-1119.57
47,21,1.50,0.80,0.30,0.30,948,618,65.19,-3916.81,-706.91,3209.90,-4.1317,0.3130,3919.36,19,620,309,0,225,138,61.33,-1067.41
48,4,1.50,0.60,0.30,0.40,949,554,58.38,-3921.52,-719.61,3201.90,-4.1323,0.2784,3924.57,38,554,357,0,225,129,57.33,-987.78
49,18,1.50,0.80,0.20,0.30,945,615,65.08,-3922.78,-722.38,3200.40,-4.1511,0.3116,3925.33,12,624,309,0,224,139,62.05,-1013.59
50,156,3.00,0.80,0.30,0.30,947,617,65.15,-3923.83,-717.33,3206.50,-4.1434,0.3121,3926.38,2,636,309,0,225,138,61.33,-1075.80
51,127,2.50,1.00,0.20,0.40,908,596,65.64,-3924.18,-851.57,3072.60,-4.3218,0.3166,3938.67,1,640,267,0,221,142,64.25,-1124.95
52,37,1.50,1.00,0.20,0.40,908,596,65.64,-3925.60,-853.00,3072.60,-4.3233,0.3164,3940.10,6,635,267,0,221,142,64.25,-1117.17
53,84,2.00,1.00,0.30,0.30,916,625,68.23,-3928.30,-822.30,3106.00,-4.2885,0.3217,3945.60,2,645,269,0,222,143,64.41,-1127.35
54,71,2.00,0.80,0.45,0.55,911,400,43.91,-3930.55,-848.25,3082.30,-4.3145,0.2865,3930.80,18,598,295,0,220,95,43.18,-1132.93
55,55,2.00,0.70,0.20,0.40,948,573,60.44,-3932.35,-731.95,3200.40,-4.1480,0.2988,3934.00,6,609,333,0,226,133,58.85,-1052.44
56,145,3.00,0.70,0.20,0.40,948,573,60.44,-3934.58,-734.17,3200.40,-4.1504,0.2984,3936.23,1,614,333,0,226,133,58.85,-1058.85
57,94,2.50,0.60,0.30,0.40,947,552,58.29,-3935.20,-739.50,3195.70,-4.1554,0.2756,3936.85,3,587,357,0,225,129,57.33,-987.42
58,100,2.50,0.70,0.20,0.40,948,573,60.44,-3935.23,-734.82,3200.40,-4.1511,0.2983,3936.88,2,613,333,0,226,133,58.85,-1058.85
59,111,2.50,0.80,0.30,0.30,947,617,65.15,-3937.45,-730.95,3206.50,-4.1578,0.3097,3940.00,2,636,309,0,225,138,61.33,-1075.80
60,155,3.00,0.80,0.20,0.55,936,529,56.52,-3939.45,-774.35,3165.10,-4.2088,0.3055,3940.20,1,629,306,0,223,128,57.40,-1031.25
61,7,1.50,0.60,0.45,0.40,949,554,58.38,-3944.02,-743.02,3201.00,-4.1560,0.2742,3947.08,41,551,357,0,225,129,57.33,-982.95
62,159,3.00,0.80,0.45,0.30,946,615,65.01,-3944.03,-739.43,3204.60,-4.1692,0.3106,3946.58,2,634,310,0,225,138,61.33,-1068.95
63,24,1.50,0.80,0.45,0.30,948,617,65.08,-3946.36,-735.46,3210.90,-4.1628,0.3099,3948.91,19,619,310,0,225,138,61.33,-1070.21
64,110,2.50,0.80,0.20,0.55,936,529,56.52,-3946.75,-781.65,3165.10,-4.2166,0.3042,3947.50,1,629,306,0,223,128,57.40,-1031.25
