rank,combo_id,TP_RR,SL_FRAC,TRAIL_FRAC,MFE_TRAIL_FRAC,n_trades,n_wins,WR_pct,net_usd,gross_usd,cost_usd,mean_net,PF,max_dd,tp_count,trail_count,sl_count,be_count,oos_trades,oos_wins,oos_WR_pct,oos_net_usd
166,124,2.50,0.90,0.45,0.40,912,578,63.38,-4247.68,-1166.67,3081.00,-4.6575,0.2746,4249.33,5,614,293,0,224,137,61.16,-1209.30
167,133,2.50,1.00,0.45,0.40,900,583,64.78,-4247.93,-1200.62,3047.30,-4.7199,0.2813,4253.87,3,622,275,0,222,139,62.61,-1224.60
168,178,3.00,1.00,0.45,0.40,902,585,64.86,-4251.95,-1197.85,3054.10,-4.7139,0.2806,4257.90,1,626,275,0,222,139,62.61,-1224.60
169,167,3.00,0.90,0.30,0.55,902,398,44.12,-4257.72,-1204.02,3053.70,-4.7203,0.2797,4257.97,1,611,290,0,219,97,44.29,-1152.45
170,79,2.00,0.90,0.45,0.40,914,580,63.46,-4261.78,-1174.38,3087.40,-4.6628,0.2722,4263.43,8,613,293,0,224,137,61.16,-1216.60
171,122,2.50,0.90,0.30,0.55,902,398,44.12,-4264.94,-1211.24,3053.70,-4.7283,0.2785,4265.19,2,610,290,0,219,97,44.29,-1152.45
172,31,1.50,0.90,0.30,0.40,909,575,63.26,-4266.24,-1194.24,3072.00,-4.6933,0.2765,4267.89,15,600,294,0,222,137,61.71,-1176.98
173,77,2.00,0.90,0.30,0.55,902,398,44.12,-4270.76,-1217.06,3053.70,-4.7348,0.2775,4271.01,4,608,290,0,219,97,44.29,-1152.45
174,166,3.00,0.90,0.30,0.40,909,575,63.26,-4271.52,-1199.82,3071.70,-4.6991,0.2756,4273.17,1,614,294,0,222,137,61.71,-1189.95
175,88,2.00,1.00,0.45,0.40,904,586,64.82,-4274.60,-1214.70,3059.90,-4.7285,0.2787,4280.55,6,622,276,0,222,139,62.61,-1221.80
176,121,2.50,0.90,0.30,0.40,909,575,63.26,-4278.74,-1207.04,3071.70,-4.7071,0.2744,4280.39,2,613,294,0,222,137,61.71,-1189.95
177,76,2.00,0.90,0.30,0.40,909,575,63.26,-4288.27,-1216.57,3071.70,-4.7176,0.2728,4289.92,3,612,294,0,222,137,61.71,-1189.95
178,43,1.50,1.00,0.45,0.40,904,586,64.82,-4290.43,-1229.42,3061.00,-4.7460,0.2767,4296.38,14,614,276,0,222,139,62.61,-1223.13
179,169,3.00,0.90,0.45,0.40,912,577,63.27,-4307.73,-1226.52,3081.20,-4.7234,0.2690,4309.38,1,617,294,0,224,137,61.16,-1213.50
180,34,1.50,0.90,0.45,0.40,913,578,63.31,-4308.83,-1224.42,3084.40,-4.7194,0.2690,4310.48,19,600,294,0,224,137,61.16,-1201.50
