rank,combo_id,TP_RR,SL_FRAC,TRAIL_FRAC,MFE_TRAIL_FRAC,is_trades,is_net_usd,oos_trades,oos_wins,oos_WR_pct,oos_net_usd
75,69,2.00,0.80,0.45,0.30,950,-3914.71,225,138,61.33,-1074.85
76,146,3.00,0.70,0.20,0.55,947,-4044.43,226,123,54.42,-1075.60
77,101,2.50,0.70,0.20,0.55,947,-4045.08,226,123,54.42,-1075.60
78,156,3.00,0.80,0.30,0.30,947,-3923.83,225,138,61.33,-1075.80
79,111,2.50,0.80,0.30,0.30,947,-3937.45,225,138,61.33,-1075.80
80,66,2.00,0.80,0.30,0.30,947,-3948.24,225,138,61.33,-1075.80
81,36,1.50,1.00,0.20,0.30,913,-3868.70,221,143,64.71,-1077.62
82,14,1.50,0.70,0.30,0.55,937,-4119.93,222,92,41.44,-1080.00
83,33,1.50,0.90,0.45,0.30,926,-4086.42,224,141,62.95,-1080.38
84,12,1.50,0.70,0.30,0.30,959,-4037.81,229,133,58.08,-1080.53
85,30,1.50,0.90,0.30,0.30,926,-4059.18,224,141,62.95,-1082.08
86,26,1.50,0.80,0.45,0.55,914,-3844.36,219,97,44.29,-1082.30
87,15,1.50,0.70,0.45,0.30,959,-4042.01,229,133,58.08,-1082.83
88,150,3.00,0.70,0.45,0.30,960,-3984.12,228,133,58.33,-1083.10
89,123,2.50,0.90,0.45,0.30,929,-4028.05,224,141,62.95,-1084.60
90,171,3.00,1.00,0.20,0.30,913,-3858.40,221,143,64.71,-1085.40
91,81,2.00,1.00,0.20,0.30,914,-3896.85,221,143,64.71,-1085.40
92,126,2.50,1.00,0.20,0.30,913,-3867.27,221,143,64.71,-1085.40
93,60,2.00,0.70,0.45,0.30,957,-4042.67,228,133,58.33,-1087.29
94,57,2.00,0.70,0.30,0.30,957,-4036.46,228,133,58.33,-1087.54
95,168,3.00,0.90,0.45,0.30,925,-4090.52,224,141,62.95,-1088.80
