rank,combo_id,tag,MAX_SPREAD,TRAIL_FRAC,MFE_TRAIL_FRAC,TP_RR,SL_FRAC,n_trades,n_wins,WR_pct,net_usd,gross_usd,cost_usd,mean_net,PF,max_dd_usd,tp_count,trail_count,sl_count,be_count
1,150,0,0.00030,0.550,0.700,2.000,0.800,940,303,32.23,-3590.37,-704.47,2885.90,-3.8195,0.3441,3598.33,41,540,359,0
2,90,0,0.00020,0.550,0.700,2.000,0.800,937,306,32.66,-3605.07,-727.67,2877.40,-3.8475,0.3459,3613.33,41,534,362,0
3,89,0,0.00020,0.550,0.550,2.000,0.800,954,442,46.33,-3608.87,-684.07,2924.80,-3.7829,0.3193,3619.68,33,558,363,0
4,179,0,0.00050,0.550,0.550,2.000,0.800,958,445,46.45,-3614.27,-678.17,2936.10,-3.7727,0.3201,3624.78,33,561,364,0
5,120,0,0.00025,0.550,0.700,2.000,0.800,940,302,32.13,-3618.27,-734.97,2883.30,-3.8492,0.3432,3626.23,41,538,361,0
6,84,0,0.00020,0.400,0.550,2.000,0.800,973,464,47.69,-3621.69,-635.89,2985.80,-3.7222,0.3243,3636.00,15,591,367,0
7,30,0,0.00010,0.550,0.700,2.000,0.800,939,305,32.48,-3623.00,-751.60,2871.40,-3.8584,0.3408,3631.26,40,538,361,0
8,29,0,0.00010,0.550,0.550,2.000,0.800,955,443,46.39,-3624.04,-706.44,2917.60,-3.7948,0.3163,3634.85,31,561,363,0
9,24,0,0.00010,0.400,0.550,2.000,0.800,973,463,47.58,-3627.40,-646.60,2980.80,-3.7281,0.3242,3641.71,15,591,367,0
10,180,0,0.00050,0.550,0.700,2.000,0.800,939,303,32.27,-3638.35,-753.65,2884.70,-3.8747,0.3406,3646.31,40,537,362,0
11,149,0,0.00030,0.550,0.550,2.000,0.800,958,445,46.45,-3640.10,-703.80,2936.30,-3.7997,0.3143,3650.61,32,563,363,0
12,59,0,0.00015,0.550,0.550,2.000,0.800,955,444,46.49,-3642.05,-716.35,2925.70,-3.8137,0.3180,3652.86,33,557,365,0
13,114,0,0.00025,0.400,0.550,2.000,0.800,974,464,47.64,-3651.86,-664.56,2987.30,-3.7493,0.3221,3665.87,15,591,368,0
14,144,0,0.00030,0.400,0.550,2.000,0.800,975,465,47.69,-3656.37,-666.57,2989.80,-3.7501,0.3186,3670.38,14,594,367,0
15,60,0,0.00015,0.550,0.700,2.000,0.800,938,303,32.30,-3656.80,-779.90,2876.90,-3.8985,0.3415,3665.06,41,533,364,0
