metric,value
engine_name,XauTrendFollow2hEngine
n_trades,201
wins,78
win_rate_pct,38.806
gross_pnl,106.736
sum_pos,204.83
sum_neg,-98.0937
pf,2.08811
n_tp_hit,76
n_sl_hit,123
n_loss_cut,0
n_be_cut,0
n_other,2
worst_trade,-3.12891
best_trade,47.7291
loss_cut_pct,0
be_arm_pct,0
be_buffer_pct,0
