metric,value
engine_name,XauTrendFollow2hEngine
n_trades,215
wins,77
win_rate_pct,35.814
gross_pnl,-98.8136
sum_pos,27.9711
sum_neg,-126.785
pf,0.220619
n_tp_hit,77
n_sl_hit,134
n_loss_cut,0
n_be_cut,0
n_other,4
worst_trade,-25.577
best_trade,0.51808
loss_cut_pct,0
be_arm_pct,0
be_buffer_pct,0
