entry_ts_unix,exit_ts_unix,symbol,side,engine,entry,exit,gross_pnl,mfe,mae,exit_reason,hold_sec,spread_at_entry,confluence_score
1709809201,1709917471,XAUUSD,LONG,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,2157.61,2187.43,0.298297,29.662,9.62,TP_HIT,108270,0,0
1709845200,1709917509,XAUUSD,LONG,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,2158.57,2189.7,0.311202,31.1465,4.52,TP_HIT,72309,0,0
1709924400,1710252460,XAUUSD,LONG,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,2174.3,2155.15,-0.191513,14.81,19.3435,SL_HIT,328060,0,0
1709924400,1710252460,XAUUSD,LONG,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,2174.3,2155.15,-0.191513,14.81,19.3435,SL_HIT,328060,0,0
1709895600,1710252488,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,2168.34,2154.79,-0.135504,26.915,13.73,SL_HIT,356888,0,0
1709895600,1710252488,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N50_sl2.0tp4.0,2168.34,2154.79,-0.135504,26.915,13.73,SL_HIT,356888,0,0
1710255600,1710350035,XAUUSD,SHORT,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,2162.28,2178.14,-0.158542,11.625,16.05,SL_HIT,94435,0,0
1710378000,1710419524,XAUUSD,LONG,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,2176.26,2163.29,-0.129623,0.7715,13.2645,SL_HIT,41524,0,0
1710486000,1710506919,XAUUSD,LONG,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,2168.8,2157.91,-0.108927,3.987,10.8935,SL_HIT,20919,0,0
1710738001,1710759984,XAUUSD,SHORT,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,2147.51,2159.54,-0.120347,1.32,12.205,SL_HIT,21983,0,0
1710738001,1710759984,XAUUSD,SHORT,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,2147.51,2159.54,-0.120347,1.32,12.205,SL_HIT,21983,0,0
1710738001,1710759984,XAUUSD,SHORT,XauTrendFollow2h_2h_Donchian_N50_sl2.0tp4.0,2147.51,2159.54,-0.120347,1.32,12.205,SL_HIT,21983,0,0
1710514800,1710960106,XAUUSD,SHORT,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,2164.47,2176.27,-0.117996,18.315,11.9915,SL_HIT,445306,0,0
1710972001,1710972975,XAUUSD,LONG,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,2186.26,2213.79,0.275348,27.935,0,TP_HIT,974,0,0
1710972001,1710972975,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,2186.26,2213.79,0.275348,27.935,0,TP_HIT,974,0,0
1710972001,1710972975,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N50_sl2.0tp4.0,2186.26,2213.79,0.275348,27.935,0,TP_HIT,974,0,0
1710972001,1710972975,XAUUSD,LONG,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,2186.26,2213.79,0.275348,27.935,0,TP_HIT,974,0,0
