entry_ts_unix,exit_ts_unix,symbol,side,engine,entry,exit,gross_pnl,mfe,mae,exit_reason,hold_sec,spread_at_entry,confluence_score
1743721200,1743770493,XAUUSD,LONG,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,3115.01,3073.99,-0.410296,21.91,41.4935,SL_HIT,49293,0,0
1743786000,1744208221,XAUUSD,SHORT,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,3031.36,3080.34,-0.489873,74.775,49.35,SL_HIT,422221,0,0
1743786000,1744208221,XAUUSD,SHORT,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,3031.36,3080.34,-0.489873,74.775,49.35,SL_HIT,422221,0,0
1743786000,1744208221,XAUUSD,SHORT,XauTrendFollow2h_2h_Donchian_N50_sl2.0tp4.0,3031.36,3080.34,-0.489873,74.775,49.35,SL_HIT,422221,0,0
1744016400,1744217335,XAUUSD,SHORT,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,3031.65,3090.53,-0.588761,75.072,59.233,SL_HIT,200935,0,0
1744210800,1744298151,XAUUSD,LONG,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,3070.26,3165.25,0.94986,95.033,21.545,TP_HIT,87351,0,0
1744210800,1744298151,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,3070.26,3165.25,0.94986,95.033,21.545,TP_HIT,87351,0,0
1744304400,1744763432,XAUUSD,LONG,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,3158.38,3263.24,1.04863,104.62,6.66,TP_HIT,459032,0,0
1744304400,1744763432,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,3158.38,3263.24,1.04863,104.62,6.66,TP_HIT,459032,0,0
1744304400,1744763432,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N50_sl2.0tp4.0,3158.38,3263.24,1.04863,104.62,6.66,TP_HIT,459032,0,0
1744322401,1744765517,XAUUSD,LONG,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,3174.49,3274.32,0.998294,99.49,0,TP_HIT,443116,0,0
1744765200,1744818129,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,3264.2,3324.12,0.599229,59.78,8.225,TP_HIT,52929,0,0
1744765200,1744818129,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N50_sl2.0tp4.0,3264.2,3324.12,0.599229,59.78,8.225,TP_HIT,52929,0,0
1744772400,1744820424,XAUUSD,LONG,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,3267.53,3329.88,0.623455,62.03,1.355,TP_HIT,48024,0,0
1744822800,1744900369,XAUUSD,LONG,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,3327.22,3291.67,-0.35557,30.555,36.07,SL_HIT,77569,0,0
1744822800,1744900369,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,3327.22,3291.67,-0.35557,30.555,36.07,SL_HIT,77569,0,0
1744822800,1744900369,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N50_sl2.0tp4.0,3327.22,3291.67,-0.35557,30.555,36.07,SL_HIT,77569,0,0
1745190000,1745240500,XAUUSD,LONG,XauTrendFollow2h_2h_InsideBar_sl2.0tp4.0,3345.82,3421.03,0.752122,75.055,2.285,TP_HIT,50500,0,0
1745204400,1745289637,XAUUSD,LONG,XauTrendFollow2h_2h_Keltner_K2_sl2.0tp4.0,3384.59,3465.22,0.806302,80.315,15.275,TP_HIT,85237,0,0
1745204400,1745289637,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N20_sl2.0tp4.0,3384.59,3465.22,0.806302,80.315,15.275,TP_HIT,85237,0,0
1745204400,1745289637,XAUUSD,LONG,XauTrendFollow2h_2h_Donchian_N50_sl2.0tp4.0,3384.59,3465.22,0.806302,80.315,15.275,TP_HIT,85237,0,0
