metric,value
engine_name,XauTrendFollow2hEngine
n_trades,218
wins,84
win_rate_pct,38.5321
gross_pnl,-115.587
sum_pos,32.3559
sum_neg,-147.943
pf,0.218705
n_tp_hit,84
n_sl_hit,130
n_loss_cut,0
n_be_cut,0
n_other,4
worst_trade,-30.7151
best_trade,0.591321
loss_cut_pct,0
be_arm_pct,0
be_buffer_pct,0
