metric,value
engine_name,XauTrendFollow2hEngine
n_trades,212
wins,93
win_rate_pct,43.8679
gross_pnl,-16.7042
sum_pos,61.0482
sum_neg,-77.7524
pf,0.785161
n_tp_hit,93
n_sl_hit,118
n_loss_cut,0
n_be_cut,0
n_other,1
worst_trade,-39.9085
best_trade,1.20388
loss_cut_pct,0
be_arm_pct,0
be_buffer_pct,0
