combo_id	buffer	min_range	max_range	sl_ticks	tp_ticks	n_called	n_rej_invalid	n_rej_spread	n_rej_session	n_in_build_window	n_rej_outside_fire	n_rej_no_range	n_rej_range_size	n_rej_cooldown	n_signal_long	n_signal_short	asian_hi	asian_lo	last_day	long_fired	short_fired	signal_count	last_signal_s
0	0.250000	1.500000	50.000000	80	200	154265439	0	1280899	5379422	39593860	83955534	21633243	1822529	29182	6	10	4711.290000	4657.840000	113	0	0	16	1776326702
24	0.500000	3.000000	50.000000	80	200	154265439	0	1280899	5379422	39171525	85109791	20907095	1820363	29413	6	9	4711.290000	4657.840000	113	0	0	15	1776326702
73	0.500000	3.000000	50.000000	80	200	154265439	0	1280899	5379422	38609806	86999113	19582219	1819729	28782	6	8	4711.290000	4657.840000	113	0	0	14	1776326702
122	0.500000	3.000000	50.000000	80	200	154265439	0	1280899	5379422	38116848	88532919	18542158	1819597	28306	6	8	4711.290000	4657.840000	113	0	0	14	1776326702
171	0.500000	3.000000	50.000000	80	200	154265439	0	1280899	5379422	37853137	89973040	17365405	1819811	28579	6	8	4711.290000	4657.840000	113	0	0	14	1776326702
220	0.500000	3.000000	50.000000	80	200	154265439	0	1280899	5379422	36560323	93094282	15537298	1819649	28258	6	8	4711.290000	4657.840000	113	0	0	14	1776326702
269	0.500000	3.000000	50.000000	80	200	154265439	0	1280899	5379422	35133225	94473361	15584449	1819986	298001	5	3	4711.290000	4657.840000	113	0	0	8	1776326702
