timestamp,open,high,low,close
1546300800000,23325.969,23436.97,23310.469,23392.469
1546387200000,23392.97,23423.97,22811.07,22977.47
1546473600000,22977.97,23137.57,22637.17,22693.47
1546560000000,22693.47,23523.669,22584.969,23404.969
1546646400000,23404.969,23404.969,23404.969,23404.969
1546732800000,23459.97,23500.97,23432.469,23496.97
1546819200000,23498.969,23687.67,23295.669,23541.47
1546905600000,23541.969,23867.17,23541.969,23812.47
1546992000000,23812.97,23986.17,23773.669,23827.97
1547078400000,23828.469,24024.169,23661.069,23955.47
1547164800000,23955.969,24017.07,23796.669,23977.97
1547251200000,23977.97,23977.97,23977.97,23977.97
1547337600000,23934.969,23936.469,23874.97,23875.97
1547424000000,23876.469,23965.669,23724.57,23912.97
1547510400000,23913.97,24098.67,23854.069,24065.47
1547596800000,24064.97,24287.669,23985.969,24160.969
1547683200000,24161.47,24480.169,24035.569,24336.969
1547769600000,24336.469,24750.669,24327.969,24703.469
1547856000000,24703.469,24703.469,24703.469,24703.469
1547942400000,24698.469,24720.47,24660.97,24671.969
1548028800000,24672.47,24679.969,24546.67,24627.97
1548115200000,24627.47,24661.469,24242.669,24408.97
1548201600000,24408.97,24696.17,24304.67,24530.97
1548288000000,24530.469,24632.97,24420.17,24528.47
1548374400000,24528.97,24863.67,24508.469,24726.47
1548460800000,24726.47,24726.47,24726.47,24726.47
1548547200000,24719.97,24740.969,24685.969,24693.97
1548633600000,24692.97,24718.47,24321.669,24449.469
1548720000000,24449.97,24696.97,24386.969,24644.969
1548806400000,24645.97,25109.67,24578.469,25019.97
1548892800000,25020.47,25084.97,24834.17,25040.97
1548979200000,25040.97,25187.669,24983.169,25046.47
1549065600000,25046.47,25046.47,25046.47,25046.47
1549152000000,24999.47,25041.469,24989.47,25030.969
1549238400000,25030.469,25249.67,24975.67,25215.97
1549324800000,25216.47,25426.169,25192.47,25374.469
1549411200000,25374.469,25439.67,25308.069,25351.969
1549497600000,25351.969,25359.469,24998.17,25087.17
1549584000000,25087.67,25119.67,24883.669,25099.47
1549670400000,25099.47,25099.47,25099.47,25099.47
1549756800000,25129.97,25141.969,25088.47,25089.97
1549843200000,25090.47,25240.07,25003.67,25052.97
1549929600000,25052.47,25460.669,25045.47,25449.969
1550016000000,25449.969,25625.67,25443.969,25495.969
1550102400000,25495.969,25614.47,25300.669,25418.47
1550188800000,25418.47,25898.67,25274.47,25887.97
