timestamp,open,high,low,close
1546300800000,2985.67,2985.67,2985.67,2985.67
1546387200000,2966.57,3008.57,2934.769,3004.569
1546473600000,2965.569,2983.77,2948.57,2953.57
1546560000000,2986.469,3062.47,2977.769,3055.969
1546646400000,3055.969,3055.969,3055.969,3055.969
1546732800000,3055.969,3055.969,3055.969,3055.969
1546819200000,3053.47,3057.37,3014.369,3033.369
1546905600000,3041.87,3079.87,3032.87,3063.869
1546992000000,3078.569,3089.57,3060.569,3073.569
1547078400000,3055.39,3086.57,3042.689,3084.57
1547164800000,3082.47,3087.47,3056.469,3069.47
1547251200000,3069.47,3069.47,3069.47,3069.47
1547337600000,3069.47,3069.47,3069.47,3069.47
1547424000000,3048.369,3063.37,3036.369,3056.87
1547510400000,3076.169,3088.17,3044.169,3074.169
1547596800000,3079.17,3084.17,3062.169,3075.169
1547683200000,3060.07,3086.07,3052.069,3079.069
1547769600000,3086.069,3141.37,3085.07,3135.869
1547856000000,3135.869,3135.869,3135.869,3135.869
1547942400000,3135.869,3135.869,3135.869,3135.869
1548028800000,3126.37,3129.37,3118.669,3126.869
1548115200000,3111.37,3122.17,3089.869,3094.369
1548201600000,3104.87,3132.17,3093.169,3110.369
1548288000000,3117.87,3135.67,3107.169,3130.369
1548374400000,3140.87,3167.67,3139.369,3152.869
1548460800000,3152.869,3152.869,3152.869,3152.869
1548547200000,3152.869,3152.869,3152.869,3152.869
1548633600000,3146.369,3154.67,3126.369,3143.869
1548720000000,3139.369,3165.67,3130.669,3151.869
1548806400000,3153.37,3174.67,3145.369,3168.67
1548892800000,3168.869,3177.67,3127.669,3164.869
1548979200000,3160.87,3174.369,3143.669,3168.369
1549065600000,3168.369,3168.369,3168.369,3168.369
1549152000000,3168.369,3168.369,3168.369,3168.369
1549238400000,3170.37,3174.67,3143.669,3170.37
1549324800000,3169.369,3214.869,3161.17,3209.369
1549411200000,3208.87,3215.67,3197.669,3205.869
1549497600000,3199.869,3207.67,3145.369,3155.87
1549584000000,3155.369,3160.67,3123.669,3148.369
1549670400000,3148.369,3148.369,3148.369,3148.369
1549756800000,3148.369,3148.369,3148.369,3148.369
1549843200000,3150.37,3172.67,3147.369,3160.869
1549929600000,3181.37,3199.67,3179.369,3191.869
1550016000000,3204.87,3213.67,3191.669,3203.369
1550102400000,3209.37,3226.67,3180.37,3185.869
1550188800000,3178.369,3246.67,3174.369,3242.869
1550275200000,3242.869,3242.869,3242.869,3242.869
1550361600000,3242.869,3242.869,3242.869,3242.869
1550448000000,3247.369,3250.37,3233.669,3244.87
1550534400000,3244.87,3250.17,3222.17,3241.869
1550620800000,3244.37,3267.369,3234.67,3258.869
1550707200000,3266.37,3270.37,3253.369,3255.869
1550793600000,3262.869,3279.67,3257.369,3267.37
1550880000000,3267.37,3267.37,3267.37,3267.37
1550966400000,3267.37,3267.37,3267.37,3267.37
1551052800000,3284.37,3288.67,3265.869,3265.869
1551139200000,3264.37,3293.67,3259.669,3282.87
1551225600000,3281.37,3286.669,3268.669,3278.869
1551312000000,3274.369,3301.37,3266.37,3292.869
1551398400000,3316.369,3329.67,3310.369,3320.87
1551484800000,3320.87,3320.87,3320.87,3320.87
1551571200000,3320.87,3320.87,3320.87,3320.87
1551657600000,3330.37,3330.37,3299.369,3310.869
1551744000000,3316.37,3330.87,3307.669,3324.369
1551830400000,3324.869,3339.669,3316.369,3317.37
1551916800000,3313.37,3337.169,3291.169,3297.37
1552003200000,3286.87,3295.17,3272.17,3292.37
1552089600000,3292.37,3292.37,3292.37,3292.37
1552176000000,3292.37,3292.37,3292.37,3292.37
1552262400000,3301.869,3315.869,3283.169,3314.369
1552348800000,3320.869,3323.17,3291.169,3296.87
1552435200000,3291.869,3331.87,3290.869,3331.37
1552521600000,3319.869,3348.67,3318.869,3337.869
1552608000000,3347.369,3390.67,3344.669,3384.37
