bar_start_ms,open,high,low,close
1709258400000,2044.41350,2046.91500,2044.15500,2046.60000
1709265600000,2046.57000,2046.61500,2043.47000,2045.13500
1709272800000,2045.15500,2048.90500,2044.98050,2045.49850
1709280000000,2045.50850,2047.64150,2039.09000,2046.43650
1709287200000,2046.43500,2057.55500,2045.94000,2055.46850
1709294400000,2055.47000,2057.13000,2050.13000,2051.65500
1709301600000,2051.67000,2070.96150,2045.66000,2069.28150
1709308800000,2069.27450,2085.74000,2069.27450,2084.88000
1709316000000,2084.87000,2088.38500,2082.27000,2085.29650
1709510400000,2083.63500,2084.46500,2079.46150,2080.26500
1709517600000,2080.24150,2083.54350,2079.89950,2081.53350
1709524800000,2081.54500,2082.36350,2080.34450,2081.53950
1709532000000,2081.53500,2088.36850,2081.11150,2087.49500
1709539200000,2087.45500,2087.59500,2083.24500,2085.25500
1709546400000,2085.23000,2085.85000,2081.95500,2082.18500
1709553600000,2082.21000,2093.17150,2081.18650,2091.64500
1709560800000,2091.72850,2109.44850,2090.56000,2109.09000
1709568000000,2109.08000,2119.97500,2107.80500,2116.53500
1709575200000,2116.47500,2118.11500,2113.38150,2116.36000
1709582400000,2116.39000,2118.62000,2114.22500,2114.51500
1709589600000,2114.92500,2115.90500,2113.70500,2114.63000
1709596800000,2114.61000,2116.91000,2110.53500,2112.66950
1709604000000,2112.65500,2114.05500,2111.30500,2113.05050
1709611200000,2113.05500,2119.82350,2112.72500,2119.37500
1709618400000,2119.39000,2119.63500,2114.01500,2114.48500
1709625600000,2114.58500,2125.35000,2114.51000,2124.58850
1709632800000,2124.63500,2127.41000,2122.71350,2124.54000
1709640000000,2124.58500,2141.90650,2121.26350,2127.80500
1709647200000,2127.90500,2139.56450,2123.78350,2126.72850
1709654400000,2126.72350,2131.05000,2123.73350,2130.93500
1709661600000,2131.01000,2134.79000,2129.60650,2129.63650
1709668800000,2129.63000,2131.00500,2127.13150,2127.97500
1709676000000,2127.90000,2128.53500,2127.06650,2128.13000
1709683200000,2128.13350,2128.19500,2125.12650,2125.54450
1709690400000,2125.52000,2126.90350,2123.77000,2124.87350
1709697600000,2124.88500,2128.01650,2124.87350,2125.37350
1709704800000,2125.39350,2131.58350,2125.04350,2128.51500
1709712000000,2128.52000,2129.90500,2124.41500,2128.67500
1709719200000,2128.68150,2132.66000,2124.75000,2132.57000
1709726400000,2132.59000,2139.75850,2131.10500,2139.46000
1709733600000,2139.47500,2149.27500,2132.01650,2141.02500
1709740800000,2141.05000,2150.08150,2140.54500,2144.83000
1709748000000,2144.82150,2152.26000,2139.50500,2144.45000
1709755200000,2144.39500,2149.38650,2143.25500,2148.19500
1709762400000,2148.47000,2151.43350,2146.29500,2147.44500
1709769600000,2147.40000,2149.74000,2144.23150,2146.26150
1709776800000,2146.28150,2152.49150,2145.74150,2151.82000
1709784000000,2151.79000,2161.64550,2151.77000,2154.56000
1709791200000,2154.51000,2158.34000,2151.61850,2156.06500
1709798400000,2156.07000,2159.92050,2154.37650,2157.74000
1709805600000,2157.80500,2159.00000,2153.30650,2156.12500
1709812800000,2156.03150,2164.83350,2154.01000,2159.59500
1709820000000,2159.64000,2159.86500,2147.98500,2153.78000
1709827200000,2153.78500,2158.87500,2149.33500,2158.31000
1709834400000,2158.34500,2160.94000,2156.09650,2160.06000
1709841600000,2160.10000,2160.53350,2158.05000,2160.01500
1709848800000,2159.70000,2162.65000,2158.89500,2162.02500
1709856000000,2162.02000,2163.63500,2157.77350,2157.87500
1709863200000,2157.86000,2158.82350,2154.05500,2157.71500
1709870400000,2157.67500,2159.35000,2156.42150,2157.83850
1709877600000,2157.85550,2162.10000,2156.56350,2161.41000
1709884800000,2161.39000,2171.16000,2161.17000,2169.14150
1709892000000,2169.13000,2170.60000,2166.32150,2168.33650
1709899200000,2168.34000,2185.47000,2156.94500,2171.24000
1709906400000,2171.23000,2177.41000,2163.88000,2177.26500
1709913600000,2177.26000,2195.26000,2172.30500,2185.06050
1709920800000,2184.97500,2185.06500,2168.38000,2176.41500
1710115200000,2181.74500,2189.11500,2179.04000,2180.30500
1710122400000,2180.34000,2180.45500,2176.91500,2179.54450
1710129600000,2179.54000,2181.72500,2176.92000,2178.06500
1710136800000,2178.15500,2182.79000,2177.37000,2182.37000
1710144000000,2182.35500,2183.12650,2176.00700,2180.59500
1710151200000,2180.57000,2180.83000,2176.48000,2178.99000
1710158400000,2178.98500,2185.15000,2174.87350,2181.76000
1710165600000,2181.77650,2185.76500,2175.65850,2184.37000
1710172800000,2184.31500,2184.71650,2178.29000,2179.70500
1710180000000,2179.79050,2184.21150,2177.23500,2181.43000
1710187200000,2181.36950,2183.00000,2181.12000,2182.55000
1710194400000,2182.80000,2184.81000,2180.81000,2183.71500
1710201600000,2183.71000,2184.58000,2180.04450,2182.79500
1710208800000,2182.80000,2182.89500,2176.85500,2177.54500
1710216000000,2177.50500,2179.32500,2174.29500,2176.21500
1710223200000,2176.25500,2177.52500,2173.70500,2177.08000
1710230400000,2177.04500,2179.11000,2176.02500,2177.09500
1710237600000,2177.09000,2177.71000,2170.68500,2171.98500
1710244800000,2171.98000,2182.07150,2156.22500,2160.46000
1710252000000,2160.49500,2166.46500,2152.71500,2163.04650
1710259200000,2163.05150,2166.59150,2154.86000,2155.11750
1710266400000,2155.09750,2157.47500,2150.66000,2157.44500
1710273600000,2157.43000,2159.06500,2156.24000,2158.49500
1710280800000,2158.38500,2161.51000,2155.85000,2157.04000
1710288000000,2157.05000,2160.55500,2156.69850,2158.69500
1710295200000,2158.66550,2161.66350,2157.49350,2159.20000
1710302400000,2159.16500,2160.65000,2157.31650,2160.12500
1710309600000,2160.11000,2161.58150,2158.51000,2159.77500
1710316800000,2159.79500,2161.15000,2157.56500,2158.62500
1710324000000,2158.64350,2164.22500,2158.14500,2164.04850
1710331200000,2164.08000,2171.65000,2161.51500,2166.11850
1710338400000,2166.12500,2174.63150,2163.60650,2171.79500
1710345600000,2171.80500,2179.90500,2169.63000,2174.59000
1710352800000,2174.61000,2176.60000,2171.83350,2172.64000
1710360000000,2172.68850,2175.27000,2172.43000,2174.40500
1710367200000,2174.55000,2176.24500,2174.17500,2175.52500
1710374400000,2175.51000,2177.02650,2173.32350,2174.83500
1710381600000,2174.82500,2175.54500,2171.22000,2172.32000
1710388800000,2172.33500,2172.54500,2168.76350,2168.92000
1710396000000,2168.99000,2170.27000,2167.48000,2168.73000
1710403200000,2168.70500,2172.09500,2167.98000,2170.11500
1710410400000,2170.13000,2170.94500,2167.22500,2168.53000
1710417600000,2168.54000,2170.45150,2158.64500,2162.58500
1710424800000,2162.45450,2163.88500,2152.83350,2157.26500
1710432000000,2157.23500,2165.07500,2156.75500,2160.31000
1710439200000,2160.31500,2163.54150,2160.31500,2163.51500
1710446400000,2163.59500,2163.93150,2161.78650,2162.00500
1710453600000,2162.20000,2162.56000,2160.94500,2161.71000
1710460800000,2161.75500,2166.01500,2160.64500,2162.73350
1710468000000,2162.78000,2164.89000,2161.75000,2164.65150
1710475200000,2164.65650,2169.33000,2163.66000,2169.25000
1710482400000,2169.28000,2170.15000,2166.76500,2167.08000
1710489600000,2167.12000,2172.78500,2165.36500,2171.92500
1710496800000,2171.93650,2172.71500,2166.26500,2167.06500
1710504000000,2167.05500,2167.42500,2156.61350,2160.35850
1710511200000,2160.36000,2166.78850,2158.22850,2160.08500
1710518400000,2160.02500,2163.53000,2155.29000,2156.86000
1710525600000,2156.89500,2160.36000,2156.42500,2156.97350
1710720000000,2156.60650,2157.59500,2150.27850,2152.33500
1710727200000,2152.35000,2153.57500,2146.16000,2146.83000
1710734400000,2146.81500,2148.39500,2146.18500,2147.14500
1710741600000,2147.16000,2152.25500,2146.83000,2152.20000
1710748800000,2152.22500,2155.92650,2150.22000,2154.94850
1710756000000,2154.95500,2161.35500,2154.75500,2161.13000
1710763200000,2161.15500,2163.62500,2155.63350,2156.81000
1710770400000,2156.80000,2161.35150,2156.75500,2158.41150
1710777600000,2158.41500,2161.21650,2154.63000,2160.06500
1710784800000,2159.98500,2161.05500,2159.20500,2160.24500
1710792000000,2160.24000,2160.43000,2159.46150,2160.35500
1710799200000,2160.43500,2162.65000,2160.17150,2162.19000
1710806400000,2162.24000,2162.90500,2158.64500,2160.51150
1710813600000,2160.52650,2162.83500,2159.89500,2161.61500
1710820800000,2161.59500,2162.21500,2157.12000,2157.67000
1710828000000,2157.65500,2157.82500,2154.11000,2155.83150
1710835200000,2155.84000,2155.99000,2147.21000,2153.23500
1710842400000,2153.25000,2156.78000,2152.51000,2155.65000
1710849600000,2155.66000,2158.77500,2150.46500,2151.29500
1710856800000,2151.33850,2155.69150,2148.45000,2154.37000
1710864000000,2154.41050,2157.41000,2153.16650,2156.95500
1710871200000,2157.00000,2158.02500,2155.56850,2157.83500
1710878400000,2157.86000,2158.53500,2157.36000,2157.61500
1710885600000,2158.03500,2159.72500,2157.03500,2157.12000
1710892800000,2157.14000,2160.08000,2155.28000,2158.76000
1710900000000,2158.75500,2159.94350,2157.26000,2159.94350
1710907200000,2160.00550,2160.29500,2156.66000,2157.53350
1710914400000,2157.51850,2159.53650,2156.52500,2158.28000
1710921600000,2158.20500,2158.43500,2153.15500,2154.77850
1710928800000,2154.72000,2155.12000,2152.37500,2154.02000
1710936000000,2154.04500,2158.70000,2149.64500,2157.99000
1710943200000,2157.93500,2164.93000,2154.74000,2155.89000
1710950400000,2155.89650,2159.75000,2155.64500,2157.53850
1710957600000,2157.33500,2188.88500,2157.33000,2182.83000
1710964800000,2182.93050,2187.27000,2182.89000,2186.22500
1710972000000,2187.09000,2223.00500,2186.77500,2204.02000
1710979200000,2204.04500,2212.53500,2192.51500,2204.86500
1710986400000,2204.84000,2206.42500,2201.79500,2202.85000
1710993600000,2202.93000,2205.27500,2201.88500,2205.03000
