ts,o,h,l,c,spr
1779754860,4577.5450,4577.6850,4575.6100,4576.0050,0.6750
1779754920,4576.0400,4576.0800,4575.2665,4575.3700,0.6850
1779754980,4575.3450,4575.4750,4574.1000,4574.5700,0.6809
1779755040,4574.5500,4574.5500,4573.0165,4574.0950,0.6720
1779755100,4574.0315,4574.2350,4572.3765,4573.0200,0.6737
1779755160,4572.9950,4572.9950,4570.1800,4571.2500,0.6776
1779755220,4571.2300,4571.4200,4568.5950,4568.9300,0.6838
1779755280,4569.0100,4569.3535,4567.3150,4567.7250,0.6801
1779755340,4567.4550,4568.5250,4567.4550,4568.4450,0.6866
1779755400,4568.4150,4568.6950,4567.1615,4567.1615,0.6724
1779755460,4567.1815,4567.2315,4564.3850,4564.3850,0.5977
1779755520,4564.3915,4565.8750,4564.3215,4564.5950,0.6485
1779755580,4564.5300,4564.8750,4561.8250,4562.1265,0.6442
1779755640,4562.1100,4562.9000,4560.4715,4560.8665,0.6500
1779755700,4560.7300,4562.0800,4558.2015,4558.7865,0.6583
1779755760,4558.6965,4560.7700,4556.3765,4557.1100,0.6951
1779755820,4557.2100,4561.5950,4555.3600,4561.4600,0.7232
1779755880,4561.3700,4561.7500,4559.5650,4559.8050,0.6903
1779755940,4559.7550,4562.6450,4559.0400,4561.7050,0.6925
1779756000,4561.7600,4562.4550,4559.2850,4559.5700,0.6732
1779756060,4559.6200,4560.3700,4558.5065,4559.7065,0.6419
1779756120,4559.6800,4560.0600,4558.4400,4560.0300,0.6298
1779756180,4559.9700,4560.2800,4557.9465,4558.8515,0.6644
1779756240,4558.8365,4559.1650,4555.1800,4556.6500,0.6687
1779756300,4556.6850,4560.8300,4556.6850,4560.7500,0.6720
1779756360,4560.7100,4561.3750,4558.3450,4558.5100,0.6710
1779756420,4558.4865,4559.8000,4558.4865,4559.7900,0.6664
1779756480,4559.7300,4560.0100,4557.6500,4558.7515,0.6624
1779756540,4558.6600,4559.5650,4558.1715,4559.5650,0.6643
1779756600,4559.4750,4559.8850,4558.7350,4559.3550,0.6959
1779756660,4559.3115,4560.7750,4558.7515,4560.5900,0.6713
1779756720,4560.6400,4562.0300,4560.1450,4561.3550,0.6923
1779756780,4561.3350,4561.9500,4560.9000,4561.3050,0.6985
1779756840,4561.3350,4563.1600,4561.2950,4562.9900,0.6998
1779756900,4563.0200,4563.0450,4561.8500,4562.0200,0.7017
1779756960,4562.0550,4562.6950,4560.4615,4561.4050,0.6790
1779757020,4561.4250,4561.9800,4559.3650,4561.1400,0.6848
1779757080,4561.1650,4561.8000,4560.7100,4561.1200,0.6884
1779757140,4561.0700,4561.1050,4559.5200,4559.7700,0.6846
1779757200,4559.9050,4560.1235,4554.3650,4555.4615,0.6960
1779757260,4555.4600,4557.2700,4549.6715,4550.0365,0.6638
1779757320,4550.0515,4550.8950,4549.2250,4549.8450,0.6619
1779757380,4549.8715,4551.4950,4549.5515,4550.0400,0.6367
1779757440,4550.0700,4551.0200,4549.5200,4550.7200,0.6524
1779757500,4550.6865,4552.4315,4550.4365,4550.9515,0.6334
1779757560,4550.8900,4552.5615,4549.5885,4550.0150,0.6344
1779757620,4550.0365,4551.8550,4550.0065,4551.7250,0.6641
1779757680,4551.6865,4551.7450,4548.6915,4549.6685,0.6385
1779757740,4549.6585,4550.5400,4549.1550,4549.7635,0.6621
1779757800,4549.7835,4550.2250,4548.5915,4548.9315,0.6242
1779757860,4548.9950,4550.5785,4548.2950,4550.3685,0.6666
1779757920,4550.4435,4552.4050,4550.3850,4551.9600,0.6812
1779757980,4551.9150,4552.0950,4550.4650,4552.0950,0.6625
1779758040,4552.0435,4553.3050,4551.7550,4552.3700,0.6897
1779758100,4552.3300,4553.5400,4551.8900,4553.0550,0.7102
1779758160,4552.9050,4553.2150,4550.4800,4550.6800,0.6986
1779758220,4550.6500,4550.7400,4548.7385,4548.7385,0.6995
1779758280,4548.6000,4549.2350,4542.3850,4542.5500,0.6348
1779758340,4541.9765,4546.8300,4541.2350,4546.1150,0.6913
1779758400,4546.0950,4546.4250,4542.4600,4545.0450,0.6913
1779758460,4544.9950,4547.2200,4544.8050,4547.0950,0.6949
1779758520,4546.9150,4546.9150,4541.8600,4543.3900,0.7046
1779758580,4543.2400,4543.6150,4541.5250,4543.2950,0.7015
1779758640,4543.3250,4545.1000,4543.1450,4544.8300,0.6872
1779758700,4544.8900,4545.6350,4544.1900,4544.7900,0.6845
1779758760,4544.8700,4547.0600,4544.8700,4546.9300,0.6886
1779758820,4546.9700,4549.7300,4546.5400,4549.6150,0.6996
1779758880,4549.6715,4550.6585,4548.9350,4549.6400,0.6843
1779758940,4549.5800,4549.6850,4548.7750,4549.2850,0.6924
1779759000,4549.3450,4552.2985,4549.2950,4551.9650,0.6973
1779759060,4552.0150,4552.8150,4551.4250,4552.1000,0.6843
1779759120,4552.1350,4552.2600,4550.8650,4551.1550,0.6793
1779759180,4551.2050,4551.3450,4549.8950,4550.6500,0.6818
1779759240,4550.7750,4553.1350,4550.5800,4551.8365,0.6856
1779759300,4551.8265,4552.2850,4551.0600,4551.1000,0.6840
1779759360,4551.1900,4551.5650,4550.8400,4550.8400,0.6812
1779759420,4550.4200,4550.4200,4547.9100,4548.2350,0.6791
1779759480,4548.2000,4548.7900,4547.2500,4547.4700,0.6696
1779759540,4547.4000,4547.7500,4546.2650,4547.3300,0.6778
1779759600,4547.3900,4547.9400,4543.3965,4545.0900,0.6919
1779759660,4545.0850,4547.0535,4545.0850,4546.6550,0.6912
1779759720,4546.6850,4548.7150,4546.2400,4548.5050,0.6833
1779759780,4548.5950,4549.6450,4547.9200,4549.3800,0.6828
1779759840,4549.4150,4549.7950,4547.6250,4548.2700,0.6941
1779759900,4548.0700,4548.3300,4546.8300,4547.9150,0.6783
1779759960,4547.9450,4551.6950,4547.9250,4550.9650,0.6994
1779760020,4550.9400,4551.0550,4548.9950,4549.2850,0.6835
1779760080,4549.2650,4549.6650,4546.2350,4546.7250,0.7165
1779760140,4546.8650,4547.5200,4544.7415,4544.9950,0.7076
1779760200,4544.8815,4546.3700,4543.7015,4543.7365,0.6747
1779760260,4543.7665,4545.1700,4542.0315,4542.1900,0.6817
1779760320,4542.2065,4543.6400,4539.4950,4540.3850,0.6712
1779760380,4540.3650,4541.6650,4539.5650,4540.5715,0.6889
1779760440,4540.6415,4543.9250,4540.1250,4542.3600,0.7053
1779760500,4542.3400,4545.4000,4542.3400,4545.4000,0.6920
1779760560,4545.4650,4547.0800,4545.1700,4546.9050,0.6923
1779760620,4546.8500,4547.0800,4545.9650,4546.2150,0.6999
1779760680,4546.2400,4546.9300,4545.3650,4546.6300,0.6852
1779760740,4546.5950,4550.2800,4546.5950,4549.7000,0.6817
1779760800,4549.7300,4550.4100,4543.2850,4547.4350,0.7337
1779760860,4547.4400,4548.0350,4543.3000,4545.9900,0.7548
1779760920,4545.9300,4547.2050,4544.2450,4544.2900,0.7079
1779760980,4544.6550,4545.5100,4542.7800,4544.4800,0.6875
1779761040,4544.4900,4547.0350,4542.3600,4542.8000,0.7041
1779761100,4542.6600,4545.7135,4542.5300,4544.4450,0.6950
1779761160,4544.6450,4547.4850,4543.5750,4546.0050,0.7005
1779761220,4545.9950,4546.8350,4545.6700,4545.9550,0.7171
1779761280,4545.9750,4546.8600,4544.6650,4546.1200,0.7501
1779761340,4546.0085,4546.5835,4543.7700,4545.8350,0.7169
1779761400,4545.7700,4548.5850,4545.7150,4547.3850,0.6337
1779761460,4547.5100,4548.4300,4546.4800,4547.0850,0.5138
1779761520,4547.0900,4548.9700,4546.9150,4548.9700,0.5340
1779761580,4548.9450,4549.3300,4548.1950,4548.2150,0.5603
1779761640,4548.1900,4549.3950,4547.8100,4548.8000,0.5823
1779761700,4548.7050,4549.3200,4546.2700,4546.6000,0.5670
1779761760,4546.5350,4547.0900,4545.8200,4546.0650,0.5521
1779761820,4546.0900,4547.1900,4545.8750,4546.5400,0.5643
1779761880,4546.5850,4547.0250,4545.9950,4546.6850,0.5588
1779761940,4546.6950,4546.9400,4545.7250,4546.8750,0.5449
1779762000,4546.9300,4548.1750,4544.8700,4545.2750,0.5295
1779762060,4545.2400,4545.2800,4541.7750,4543.4700,0.5646
1779762120,4543.4850,4545.2750,4543.3600,4545.0250,0.5862
1779762180,4545.0500,4545.4000,4543.5200,4544.0200,0.5728
1779762240,4544.0350,4544.8150,4543.3550,4544.0300,0.5687
1779762300,4544.0200,4546.2100,4543.0450,4543.4700,0.5491
1779762360,4543.4400,4545.1350,4543.1400,4544.7050,0.5952
1779762420,4544.7350,4545.4400,4544.3150,4544.5900,0.5956
1779762480,4544.5000,4546.4950,4544.5000,4545.3050,0.5869
1779762540,4545.3350,4545.9000,4543.4300,4543.9250,0.5923
1779762600,4543.9500,4544.3750,4539.6850,4540.9200,0.6118
1779762660,4540.9050,4543.3700,4540.0800,4542.9285,0.6107
1779762720,4542.6500,4542.6500,4539.2150,4540.2050,0.5994
1779762780,4540.1450,4540.4350,4538.1600,4538.1750,0.6205
1779762840,4538.1135,4539.3900,4537.3850,4539.1150,0.6177
1779762900,4539.0650,4539.4950,4537.8050,4538.1500,0.6145
1779762960,4538.1550,4538.6500,4534.8950,4535.2350,0.5619
1779763020,4535.2850,4536.0250,4534.0650,4535.2550,0.5582
1779763080,4535.2050,4535.2400,4532.1500,4535.2400,0.6164
1779763140,4535.1700,4535.6500,4527.7400,4530.1150,0.6433
1779763200,4530.1450,4532.5100,4528.9500,4531.4350,0.6619
1779763260,4531.4250,4532.0500,4528.6000,4529.4550,0.6027
1779763320,4529.4450,4532.5400,4528.1400,4531.7350,0.5838
1779763380,4531.7550,4533.1000,4531.1650,4531.2400,0.6144
1779763440,4531.2250,4532.5800,4529.7050,4532.4100,0.6133
1779763500,4532.4300,4533.8500,4531.7600,4533.3685,0.6088
1779763560,4533.3535,4534.0835,4532.5650,4533.5950,0.6134
1779763620,4533.6200,4535.3250,4531.6250,4532.9050,0.5681
1779763680,4532.9300,4534.0650,4531.4850,4533.7800,0.5911
1779763740,4533.5950,4535.1000,4532.6700,4533.3700,0.5692
1779763800,4533.4150,4533.8950,4531.5350,4532.9400,0.5595
1779763860,4532.9600,4533.2950,4532.2800,4532.5600,0.6192
1779763920,4532.6100,4533.9950,4532.5600,4533.9315,0.6141
1779763980,4533.9250,4535.5500,4533.9250,4535.4150,0.5218
1779764040,4535.3850,4536.3550,4534.8350,4535.1500,0.5117
