ts,o,h,l,c,v
1775115000,23615.4945,23623.3480,23609.3260,23615.7335,1285
1775115300,23615.3975,23625.9560,23608.6035,23624.1145,1132
1775115600,23623.2225,23630.7390,23612.7170,23618.7445,1076
1775115900,23618.2830,23618.3535,23608.8810,23614.4710,1025
1775116200,23614.5165,23637.5095,23613.2500,23629.2280,1068
1775116500,23628.7390,23643.9890,23624.3755,23641.0385,1210
1775116800,23641.0705,23650.4670,23631.0000,23646.3810,1627
1775117100,23646.6640,23662.0330,23637.1475,23641.8535,1558
1775117400,23642.0385,23650.4835,23630.8675,23645.6145,1336
1775117700,23645.4835,23664.0385,23642.2005,23651.6310,1365
1775118000,23651.6215,23655.6255,23620.8370,23621.8590,1301
1775118300,23621.7445,23653.8865,23620.9615,23648.8755,1461
1775118600,23648.3590,23658.3645,23644.4945,23654.9970,1337
1775118900,23654.7060,23675.8480,23651.1200,23668.5870,1309
1775119200,23667.4560,23677.1530,23661.5165,23667.7170,1281
1775119500,23668.0000,23685.4765,23667.6395,23683.5330,1151
1775119800,23683.7320,23691.7745,23674.3810,23689.3645,1217
1775120100,23690.3920,23706.2665,23683.4780,23704.1310,1139
1775120400,23705.1310,23707.0110,23675.9945,23681.3865,1493
1775120700,23681.2445,23681.6310,23667.0815,23674.2610,1281
1775121000,23673.9890,23678.7885,23665.5275,23668.9835,1134
1775121300,23668.4505,23680.3755,23657.5055,23661.3865,1346
1775121600,23661.2775,23666.1200,23649.1255,23655.8975,1224
1775121900,23655.7280,23666.2375,23648.1200,23663.3535,1226
1775122200,23663.2830,23684.9045,23662.8920,23678.1035,1276
1775122500,23678.0110,23684.4945,23665.7280,23679.2610,1121
1775122800,23679.3590,23693.3590,23670.7500,23672.2320,1110
1775123100,23672.3535,23682.5220,23667.4890,23671.9615,1152
1775123400,23671.7500,23676.0275,23658.9945,23670.7375,948
1775123700,23670.7445,23674.5275,23658.0000,23660.0275,1021
1775124000,23662.1065,23672.9945,23654.4835,23662.1200,1010
1775124300,23662.2280,23665.4890,23653.0330,23655.2665,955
1775124600,23655.3700,23657.4890,23649.4670,23652.7335,944
1775124900,23652.4835,23666.4140,23650.8825,23656.0275,1003
1775125200,23655.5110,23674.3535,23652.5135,23671.3810,993
1775125500,23671.6310,23685.1285,23671.3425,23675.6230,1076
1775125800,23675.6435,23675.6435,23654.7525,23655.9725,881
1775126100,23655.6435,23659.6285,23646.9600,23652.9945,860
1775126400,23652.7445,23658.5495,23649.1035,23653.1145,953
1775126700,23652.7470,23657.0000,23644.3425,23651.3700,886
1775127000,23650.3590,23664.0000,23650.3590,23659.4615,952
1775127300,23659.7390,23665.0385,23646.2500,23655.9615,1055
1775127600,23656.1420,23657.6035,23638.5385,23652.2280,1046
1775127900,23652.6200,23665.7470,23634.9875,23641.4820,1098
1775128200,23641.2500,23645.3675,23610.8660,23613.1600,1142
1775128500,23613.6035,23620.9835,23602.2445,23609.8700,1213
1775128800,23610.0165,23614.9890,23602.8755,23608.6255,974
1775129100,23608.7610,23616.8590,23605.8535,23606.3700,988
1775129400,23606.6230,23623.2445,23600.5110,23621.6200,1193
1775129700,23621.6545,23633.7390,23614.0080,23614.3700,1181
1775130000,23614.4725,23642.6145,23612.4725,23632.1145,1179
1775130300,23632.0220,23641.2885,23629.7360,23635.8825,1017
1775130600,23636.4875,23636.6310,23621.8535,23624.7305,1164
1775130900,23625.1090,23644.7665,23623.0055,23637.8810,1188
1775131200,23639.2390,23647.2335,23628.1160,23629.3700,1390
1775131500,23629.5000,23630.5330,23592.6215,23595.1530,1402
