timestamp,open,high,low,close
1546300800000,6734.37,6753.169,6734.069,6742.87
1546387200000,6743.57,6760.77,6598.199,6682.369
1546473600000,6682.369,6754.27,6674.77,6691.87
1546560000000,6691.87,6862.269,6667.969,6829.869
1546646400000,6829.869,6829.869,6829.869,6829.869
1546732800000,6843.27,6847.87,6830.369,6846.47
1546819200000,6846.47,6878.57,6776.161,6810.669
1546905600000,6810.669,6902.27,6801.97,6895.669
1546992000000,6894.969,6952.14,6882.57,6883.969
1547078400000,6883.97,6970.269,6860.49,6948.069
1547164800000,6948.069,7002.77,6899.769,6909.269
1547251200000,6909.269,6909.269,6909.269,6909.269
1547337600000,6896.379,6898.029,6880.869,6881.569
1547424000000,6881.569,6908.269,6841.151,6864.17
1547510400000,6864.17,6941.769,6848.769,6887.269
1547596800000,6887.269,6913.77,6842.27,6842.27
1547683200000,6842.27,6860.269,6797.77,6845.969
1547769600000,6845.269,7000.77,6843.269,6992.87
1547856000000,6992.87,6992.87,6992.87,6992.87
1547942400000,6994.839,6998.08,6981.57,6983.57
1548028800000,6984.269,6995.77,6954.269,6974.87
1548115200000,6975.57,6983.17,6846.269,6857.27
1548201600000,6856.569,6896.77,6809.91,6827.369
1548288000000,6827.369,6855.27,6800.069,6817.469
1548374400000,6817.469,6858.629,6786.869,6791.769
1548460800000,6791.769,6791.769,6791.769,6791.769
1548547200000,6792.86,6792.86,6779.27,6782.069
1548633600000,6782.069,6812.77,6731.579,6749.47
1548720000000,6749.47,6883.719,6734.369,6867.049
1548806400000,6866.409,6967.34,6851.469,6958.369
1548892800000,6958.369,6994.089,6935.59,6973.329
1548979200000,6973.96,7032.1,6962.68,7019.37
1549065600000,7019.37,7019.37,7019.37,7019.37
1549152000000,7010.509,7017.91,7007.07,7014.699
1549238400000,7015.34,7065.709,7000.83,7057.409
1549324800000,7056.77,7185.5,7048.369,7166.87
1549411200000,7166.87,7183.849,7143.97,7156.769
1549497600000,7157.369,7187.859,7089.269,7096.569
1549584000000,7096.569,7115.76,7063.269,7107.37
1549670400000,7107.37,7107.37,7107.37,7107.37
1549756800000,7110.87,7115.37,7105.069,7105.069
1549843200000,7105.77,7148.77,7084.97,7111.269
1549929600000,7112.57,7168.9,7111.269,7154.849
1550016000000,7154.52,7204.831,7143.769,7165.87
1550102400000,7165.87,7232.8,7151.599,7200.81
1550188800000,7201.46,7261.97,7178.27,7244.37
1550275200000,7244.37,7244.37,7244.37,7244.37
1550361600000,7253.409,7257.29,7241.77,7249.179
1550448000000,7248.529,7248.529,7207.269,7212.009
1550534400000,7212.33,7232.99,7160.83,7179.869
1550620800000,7179.17,7243.839,7165.269,7211.57
1550707200000,7211.57,7237.96,7140.811,7164.85
1550793600000,7164.369,7220.77,7158.419,7177.069
1550880000000,7177.069,7177.069,7177.069,7177.069
1550966400000,7201.97,7202.67,7193.069,7197.87
1551052800000,7199.949,7212.829,7148.769,7154.729
1551139200000,7154.27,7169.769,7089.769,7131.069
1551225600000,7131.77,7152.47,7080.769,7094.87
1551312000000,7094.87,7098.269,7039.269,7078.37
1551398400000,7078.37,7130.57,7077.67,7129.169
1551484800000,7129.169,7129.169,7129.169,7129.169
1551571200000,7157.359,7159.139,7143.819,7147.74
1551657600000,7147.429,7166.459,7095.03,7114.65
1551744000000,7115.92,7191.35,7107.649,7156.999
1551830400000,7156.999,7212.269,7140.569,7144.85
1551916800000,7144.769,7192.77,7125.769,7142.869
1552003200000,7142.671,7145.369,7076.769,7142.37
1552089600000,7142.37,7142.37,7142.37,7142.37
1552176000000,7142.75,7152.51,7137.369,7138.139
1552262400000,7137.489,7182.27,7109.47,7149.57
1552348800000,7149.57,7166.97,7079.969,7154.67
1552435200000,7154.67,7183.97,7122.969,7145.869
1552521600000,7145.869,7215.469,7130.969,7183.769
1552608000000,7183.769,7243.949,7183.769,7231.469
1552694400000,7231.469,7231.469,7231.469,7231.469
1552780800000,7224.159,7227.949,7221.269,7226.059
1552867200000,7225.43,7304.17,7222.279,7295.869
1552953600000,7295.869,7350.27,7283.5,7291.77
1553040000000,7291.77,7341.36,7273.27,7311.499
1553126400000,7312.139,7370.12,7292.32,7354.63
1553212800000,7355.269,7361.61,7185.3,7188.539
1553299200000,7188.539,7188.539,7188.539,7188.539
1553385600000,7200.39,7204.18,7195.97,7199.13
1553472000000,7199.77,7207.559,7145.349,7180.479
1553558400000,7179.849,7221.329,7169.189,7207.76
1553644800000,7208.389,7226.31,7159.199,7202.399
1553731200000,7201.77,7279.429,7178.699,7274.99
1553817600000,7275.62,7292.15,7234.37,7290.169
1553904000000,7290.169,7290.169,7290.169,7290.169
1553990400000,7314.38,7319.47,7306.349,7309.59
1554076800000,7308.639,7351.639,7294.269,7333.23
1554163200000,7331.379,7403.78,7327.04,7373.269
1554249600000,7372.19,7426.54,7365.99,7398.259
1554336000000,7398.579,7417.339,7366.47,7407.829
1554422400000,7407.19,7460.88,7397.8,7456.6
1554508800000,7456.6,7456.6,7456.6,7456.6
1554595200000,7459.98,7459.98,7449.299,7455.999
1554681600000,7463.68,7463.68,7419.19,7452.07
1554768000000,7454.369,7477.29,7410.509,7418.1
1554854400000,7416.61,7441.34,7405.749,7420.739
1554940800000,7418.63,7441.76,7382.279,7425.14
1555027200000,7428.399,7454.58,7414,7449.2
1555113600000,7449.2,7449.2,7449.2,7449.2
1555200000000,7452.54,7452.54,7442.309,7446.859
1555286400000,7447.299,7449.34,7420.039,7439.199
1555372800000,7440.14,7486,7437.159,7456.92
1555459200000,7453.999,7478.92,7445.539,7470.359
1555545600000,7467.76,7490.509,7436.209,7486.85
1555632000000,7486.85,7486.85,7486.85,7486.85
1555718400000,7486.85,7486.85,7486.85,7486.85
1555804800000,7490.869,7491.47,7487.069,7488.37
1555891200000,7489.87,7496.07,7463.569,7487.469
1555977600000,7487.77,7528.27,7465.77,7518.97
1556064000000,7518.97,7521.47,7456.769,7470.57
1556150400000,7468.47,7480.97,7405.769,7440.57
1556236800000,7440.969,7446.97,7398.469,7437.97
1556323200000,7437.97,7437.97,7437.97,7437.97
1556409600000,7438.569,7439.2,7433.569,7434.269
1556496000000,7438.469,7459.77,7403.769,7442.27
1556582400000,7450.47,7456.269,7393.579,7442.799
1556668800000,7443.419,7458.86,7321.029,7336.12
1556755200000,7335.66,7394.039,7330,7340.59
