ts,o,h,l,c,v
1778709600,4738.0,4738.5,4731.8,4738.5,30.0
1778711400,4738.2,4741.9,4737.4,4740.4,45.0
1778713200,4742.5,4743.6,4738.9,4738.9,39.0
1778715000,4737.9,4738.2,4734.9,4736.1,35.0
1778716800,4738.5,4746.8,4731.4,4742.1,44.0
1778718600,4744.3,4746.6,4734.7,4744.4,57.0
1778720400,4747.9,4747.9,4726.0,4735.4,97.0
1778722200,4736.0,4736.0,4725.0,4726.8,62.0
1778724000,4730.2,4735.4,4729.2,4732.7,27.0
1778725800,4733.5,4741.2,4721.2,4727.5,112.0
1778727600,4730.0,4734.1,4722.4,4732.5,123.0
1778729400,4728.5,4728.5,4714.9,4715.8,129.0
1778731200,4713.0,4747.6,4708.0,4743.6,194.0
1778733000,4744.8,4754.3,4743.3,4744.9,120.0
1778734800,4743.4,4744.3,4735.2,4735.2,104.0
1778736600,4737.3,4743.6,4731.2,4731.3,90.0
1778738400,4733.8,4734.6,4728.7,4733.1,51.0
1778740200,4735.4,4743.1,4734.2,4742.9,41.0
1778742000,4739.8,4747.4,4737.0,4746.3,36.0
1778743800,4747.5,4760.6,4732.3,4734.5,126.0
1778745600,4741.2,4746.1,4739.3,4746.1,35.0
1778747400,4746.2,4747.7,4735.7,4736.2,48.0
1778749200,4735.2,4739.0,4732.3,4732.3,33.0
1778751000,4731.4,4741.6,4729.4,4741.2,57.0
1778752800,4740.5,4744.2,4735.1,4738.7,26.0
1778754600,4739.3,4739.3,4732.5,4737.7,22.0
1778756400,4738.8,4739.0,4730.6,4734.0,64.0
1778758200,4733.7,4745.5,4733.7,4738.0,36.0
1778760000,4734.9,4749.0,4734.9,4744.4,62.0
1778761800,4744.4,4751.7,4738.5,4747.7,166.0
1778763600,4747.2,4747.2,4730.0,4730.7,172.0
1778765400,4728.0,4731.6,4706.8,4719.6,457.0
1778767200,4720.0,4742.0,4719.8,4731.5,232.0
1778769000,4731.5,4733.4,4720.0,4720.0,102.0
1778770800,4720.0,4729.9,4718.0,4727.2,92.0
1778772600,4727.0,4728.8,4722.0,4726.1,62.0
1778774400,4727.0,4728.0,4715.0,4717.2,121.0
1778776200,4716.9,4719.3,4711.7,4719.3,96.0
1778778000,4720.5,4724.0,4718.1,4718.5,97.0
1778779800,4718.5,4722.4,4718.4,4718.8,38.0
1778781600,4718.5,4718.7,4709.0,4713.5,127.0
1778783400,4715.3,4715.3,4707.0,4711.3,98.0
1778785200,4711.0,4711.0,4703.0,4703.3,79.0
1778787000,4703.4,4704.9,4692.5,4694.4,201.0
1778788800,4695.2,4696.4,4686.7,4687.4,173.0
1778790600,4686.8,4692.1,4683.6,4690.0,170.0
1778796000,4689.8,4697.8,4687.9,4696.3,109.0
1778797800,4698.2,4701.0,4697.6,4701.0,51.0
1778799600,4700.6,4703.0,4694.4,4703.0,34.0
1778801400,4703.5,4703.5,4687.0,4689.8,125.0
1778803200,4690.4,4695.2,4666.7,4669.8,204.0
1778805000,4668.4,4669.2,4652.6,4669.2,415.0
1778806800,4669.2,4670.0,4646.8,4647.3,343.0
1778808600,4646.1,4660.6,4644.2,4653.3,136.0
1778810400,4651.9,4657.0,4648.0,4649.9,85.0
1778812200,4651.1,4661.0,4648.0,4656.2,88.0
1778814000,4655.6,4660.1,4648.0,4651.0,107.0
1778815800,4651.3,4655.8,4647.0,4654.5,110.0
1778817600,4653.5,4659.7,4647.0,4650.6,88.0
1778819400,4651.3,4651.3,4643.0,4643.4,62.0
1778821200,4644.0,4644.0,4618.8,4627.6,336.0
1778823000,4627.0,4627.5,4595.0,4596.5,365.0
1778824800,4596.9,4615.6,4595.7,4613.4,244.0
1778826600,4616.6,4617.7,4604.1,4607.6,81.0
1778828400,4605.9,4626.9,4604.6,4620.7,183.0
1778830200,4620.2,4621.0,4607.1,4607.4,69.0
1778832000,4610.2,4610.2,4591.7,4596.2,189.0
1778833800,4593.7,4601.1,4586.8,4591.4,126.0
1778835600,4592.1,4600.0,4578.3,4592.2,179.0
1778837400,4590.7,4593.0,4569.8,4582.1,173.0
1778839200,4583.0,4601.0,4583.0,4591.6,186.0
1778841000,4588.7,4610.0,4587.7,4603.3,186.0
1778842800,4604.8,4607.2,4598.0,4599.3,118.0
1778844600,4598.9,4599.1,4588.5,4588.8,134.0
1778846400,4585.0,4596.2,4583.2,4592.3,127.0
1778848200,4591.0,4593.2,4580.6,4584.4,149.0
1778850000,4583.5,4595.0,4573.8,4585.5,224.0
1778851800,4585.5,4585.5,4547.4,4568.5,617.0
1778853600,4571.0,4600.5,4562.9,4591.7,286.0
1778855400,4594.7,4603.4,4583.9,4600.1,202.0
1778857200,4597.6,4600.7,4580.7,4584.5,162.0
1778859000,4586.1,4587.4,4571.8,4575.6,148.0
1778860800,4579.1,4579.5,4566.9,4577.5,153.0
1778862600,4579.7,4585.0,4578.8,4581.8,63.0
1778864400,4582.1,4602.1,4582.1,4595.6,178.0
1778866200,4595.3,4601.1,4595.3,4597.1,83.0
1778868000,4598.0,4599.8,4591.0,4595.3,47.0
1778869800,4594.9,4600.3,4590.3,4596.2,43.0
1778871600,4597.5,4597.5,4586.6,4587.2,114.0
1778873400,4588.1,4591.2,4583.0,4583.5,70.0
1778875200,4581.2,4582.0,4571.5,4576.6,127.0
1778877000,4577.6,4580.3,4574.7,4576.7,65.0
1779055200,4579.9,4592.3,4555.5,4580.0,225.0
1779057000,4578.1,4590.8,4578.1,4583.5,57.0
1779058800,4584.6,4584.7,4574.9,4574.9,107.0
1779060600,4573.7,4581.0,4569.0,4573.5,105.0
1779062400,4578.9,4579.4,4551.0,4552.6,137.0
1779064200,4553.1,4553.2,4516.0,4550.0,685.0
1779066000,4551.0,4552.3,4525.0,4540.9,259.0
1779067800,4538.6,4570.6,4536.4,4563.4,200.0
1779069600,4560.1,4577.0,4558.0,4570.0,177.0
1779071400,4566.9,4578.7,4566.6,4569.9,61.0
1779073200,4568.8,4572.8,4564.8,4572.2,75.0
1779075000,4572.7,4585.0,4562.3,4578.5,177.0
1779076800,4578.7,4586.2,4567.8,4567.8,100.0
1779078600,4574.8,4582.0,4573.4,4576.9,61.0
1779080400,4579.1,4588.0,4571.0,4585.7,109.0
1779082200,4588.7,4589.3,4568.8,4568.8,102.0
1779084000,4568.0,4585.0,4567.2,4577.0,70.0
1779085800,4572.5,4585.0,4572.5,4584.3,95.0
1779087600,4584.0,4588.3,4576.9,4588.2,62.0
1779089400,4589.1,4597.8,4577.6,4583.9,153.0
1779091200,4583.5,4589.2,4580.0,4586.8,49.0
1779093000,4585.0,4594.5,4583.5,4589.7,47.0
1779094800,4588.7,4588.7,4580.0,4582.3,64.0
1779096600,4583.4,4583.5,4577.7,4581.5,48.0
1779098400,4582.5,4582.5,4575.0,4577.1,65.0
1779100200,4576.6,4585.0,4570.0,4576.6,57.0
1779102000,4576.0,4576.0,4568.9,4574.0,55.0
1779103800,4576.1,4605.5,4575.9,4587.5,216.0
1779105600,4587.4,4593.3,4583.7,4587.7,137.0
1779107400,4588.7,4613.0,4588.7,4609.9,311.0
1779109200,4612.0,4615.0,4600.0,4610.0,186.0
1779111000,4606.8,4622.3,4602.2,4615.0,219.0
1779112800,4613.2,4613.2,4592.6,4598.2,157.0
1779114600,4600.6,4600.6,4577.0,4584.8,215.0
1779116400,4585.7,4585.8,4570.0,4573.2,160.0
1779118200,4573.0,4583.0,4573.0,4582.3,55.0
1779120000,4581.9,4587.5,4572.1,4574.6,73.0
1779121800,4572.0,4591.8,4572.0,4590.1,94.0
1779123600,4590.8,4595.0,4590.1,4591.6,69.0
1779125400,4587.5,4588.0,4583.9,4583.9,23.0
1779127200,4584.0,4584.9,4575.2,4575.8,40.0
1779129000,4580.0,4581.2,4573.5,4573.5,28.0
1779130800,4574.4,4601.5,4573.3,4589.4,112.0
1779132600,4591.9,4600.0,4591.8,4596.6,45.0
1779134400,4597.1,4605.3,4596.9,4601.6,67.0
1779136200,4601.1,4604.8,4601.0,4604.8,36.0
1779141600,4608.4,4612.0,4605.6,4610.8,328.0
1779143400,4610.9,4616.1,4609.4,4611.8,485.0
1779145200,4611.8,4627.0,4611.8,4623.4,597.0
1779147000,4623.5,4625.2,4616.2,4620.0,473.0
1779148800,4619.8,4626.4,4607.1,4610.8,1127.0
1779150600,4611.1,4613.0,4598.3,4599.8,916.0
1779152400,4599.2,4606.2,4591.0,4595.2,809.0
1779154200,4595.6,4608.6,4592.2,4600.6,477.0
1779156000,4599.2,4600.3,4588.4,4598.1,393.0
1779157800,4594.5,4595.5,4582.6,4584.3,417.0
1779159600,4583.5,4589.4,4580.0,4587.0,343.0
1779161400,4586.2,4591.8,4579.8,4582.4,295.0
1779163200,4580.8,4581.5,4574.9,4577.2,456.0
1779165000,4576.4,4580.5,4574.5,4578.6,279.0
1779166800,4579.1,4583.0,4567.3,4576.2,357.0
1779168600,4576.3,4580.6,4569.7,4577.7,626.0
1779170400,4576.2,4590.2,4570.4,4585.0,493.0
1779172200,4584.0,4589.1,4580.0,4585.2,313.0
1779174000,4584.0,4592.0,4580.4,4585.0,378.0
1779175800,4584.6,4596.0,4578.3,4593.8,519.0
1779177600,4595.7,4596.0,4572.9,4575.3,509.0
1779179400,4575.0,4585.0,4574.0,4579.0,253.0
1779181200,4579.0,4583.3,4572.8,4576.9,372.0
1779183000,4577.3,4581.3,4573.3,4577.8,340.0
1779184800,4578.1,4578.8,4572.5,4577.4,156.0
1779186600,4577.3,4580.9,4562.0,4580.9,551.0
1779188400,4582.0,4585.0,4572.8,4576.2,342.0
1779190200,4575.9,4580.2,4566.8,4567.1,370.0
1779192000,4567.2,4583.5,4564.0,4580.2,575.0
1779193800,4579.4,4584.2,4573.3,4575.1,475.0
1779195600,4573.9,4574.1,4527.0,4527.7,1718.0
1779197400,4526.9,4547.2,4501.0,4540.6,2921.0
1779199200,4539.9,4550.5,4520.3,4526.4,1390.0
1779201000,4526.0,4534.8,4523.1,4530.7,982.0
1779202800,4530.9,4541.6,4526.1,4535.3,824.0
1779204600,4535.2,4545.7,4535.2,4545.2,473.0
1779206400,4546.4,4548.4,4532.6,4545.9,428.0
1779208200,4545.0,4549.1,4541.2,4544.6,526.0
1779210000,4544.2,4547.8,4539.9,4543.9,365.0
1779211800,4543.6,4545.1,4535.8,4537.8,249.0
1779213600,4538.3,4540.5,4532.0,4532.5,252.0
1779215400,4531.9,4537.0,4526.7,4530.0,275.0
1779217200,4529.6,4533.4,4521.8,4523.4,271.0
1779219000,4523.8,4525.8,4517.9,4519.5,305.0
1779220800,4519.9,4524.2,4517.5,4522.4,309.0
1779222600,4521.8,4521.8,4518.0,4518.7,183.0
1779228000,4518.1,4521.0,4513.9,4515.3,131.0
