ts,o,h,l,c,v
1782165600,4209.8,4212.8,4209.4,4210.6,698.0
1782166200,4210.6,4211.4,4208.8,4210.4,434.0
1782166800,4210.5,4211.4,4209.5,4210.9,268.0
1782167400,4210.9,4213.2,4207.8,4209.8,1044.0
1782168000,4209.6,4209.6,4206.2,4206.4,729.0
1782168600,4206.8,4208.7,4206.3,4207.9,416.0
1782169200,4208.0,4210.8,4207.5,4209.7,808.0
1782169800,4209.9,4210.2,4208.2,4209.5,311.0
1782170400,4209.5,4210.0,4208.1,4209.0,373.0
1782171000,4208.7,4214.5,4208.7,4213.2,1172.0
1782171600,4213.2,4214.0,4207.2,4208.5,967.0
1782172200,4208.7,4208.7,4204.5,4205.4,1380.0
1782172800,4205.0,4210.0,4200.4,4201.9,2317.0
1782173400,4202.0,4202.0,4195.6,4199.7,2457.0
1782174000,4199.6,4203.6,4195.9,4201.5,1690.0
1782174600,4201.6,4204.0,4199.5,4203.8,1323.0
1782175200,4203.6,4212.4,4201.5,4208.6,2420.0
1782175800,4208.2,4211.8,4207.0,4210.6,1365.0
1782176400,4210.5,4216.2,4202.2,4206.0,5004.0
1782177000,4205.9,4206.8,4189.4,4190.7,3646.0
1782177600,4190.6,4198.4,4187.9,4195.7,2969.0
1782178200,4195.2,4196.1,4178.1,4179.3,4779.0
1782178800,4179.3,4183.0,4167.1,4168.0,5207.0
1782179400,4168.0,4180.9,4167.4,4179.1,3804.0
1782180000,4179.4,4181.3,4168.6,4169.5,3633.0
1782180600,4169.6,4178.3,4166.6,4176.3,2980.0
1782181200,4176.2,4181.5,4175.4,4180.0,1766.0
1782181800,4179.9,4180.5,4173.9,4175.9,1707.0
1782182400,4176.1,4176.5,4169.8,4171.9,1737.0
1782183000,4172.1,4173.7,4164.4,4164.6,1683.0
1782183600,4165.0,4167.7,4157.1,4158.7,3561.0
1782184200,4158.5,4162.2,4149.1,4151.1,3417.0
1782184800,4151.1,4158.8,4148.4,4158.5,2860.0
1782185400,4158.5,4159.0,4151.1,4154.2,2095.0
1782186000,4154.1,4158.0,4152.6,4156.7,1056.0
1782186600,4156.7,4163.0,4156.5,4161.7,1971.0
1782187200,4162.1,4164.6,4160.3,4161.4,1570.0
1782187800,4161.8,4161.9,4156.4,4157.4,1095.0
1782188400,4157.1,4158.1,4154.5,4157.3,1141.0
1782189000,4157.2,4157.2,4152.5,4156.4,1560.0
1782189600,4155.9,4158.1,4154.1,4156.1,628.0
1782190200,4156.0,4156.8,4132.0,4135.7,4610.0
1782190800,4135.9,4155.4,4132.8,4145.5,4279.0
1782191400,4145.8,4148.7,4143.8,4145.7,1686.0
1782192000,4145.5,4148.7,4141.1,4143.1,1435.0
1782192600,4143.1,4151.3,4134.9,4143.3,4932.0
1782193200,4143.2,4146.9,4135.1,4136.8,2272.0
1782193800,4137.0,4140.4,4134.6,4139.2,2460.0
1782194400,4139.3,4144.8,4130.6,4131.4,3459.0
1782195000,4131.4,4145.0,4129.0,4140.5,3248.0
1782195600,4140.8,4143.6,4132.4,4134.5,2211.0
1782196200,4134.3,4139.2,4131.6,4134.1,2013.0
1782196800,4134.2,4136.1,4128.1,4133.4,2495.0
1782197400,4133.6,4138.4,4131.7,4132.2,1582.0
1782198000,4132.2,4143.0,4127.5,4139.4,2867.0
1782198600,4139.3,4139.5,4130.0,4135.5,2424.0
1782199200,4135.3,4140.7,4135.1,4136.2,1500.0
1782199800,4136.0,4137.4,4128.3,4129.2,1877.0
1782200400,4129.1,4131.1,4121.0,4124.1,2823.0
1782201000,4123.9,4123.9,4114.0,4116.2,3207.0
1782201600,4116.2,4117.6,4108.2,4111.6,4119.0
1782202200,4112.0,4117.6,4109.4,4115.6,2119.0
1782202800,4115.9,4117.5,4112.0,4115.8,1378.0
1782203400,4115.7,4122.8,4114.0,4119.7,1889.0
1782204000,4120.0,4128.7,4119.4,4121.8,2694.0
1782204600,4121.2,4126.3,4119.9,4122.9,1186.0
1782205200,4122.8,4130.8,4122.0,4127.4,1935.0
1782205800,4127.3,4131.5,4126.6,4129.1,1392.0
1782206400,4129.2,4135.4,4129.2,4130.4,1802.0
1782207000,4130.5,4138.4,4130.1,4136.2,1720.0
1782207600,4136.0,4137.8,4134.0,4135.3,925.0
1782208200,4135.3,4140.4,4132.9,4140.1,1072.0
1782208800,4140.0,4150.9,4139.9,4144.6,3346.0
