ts,o,h,l,c,v
1781474400,4287.4,4329.4,4283.1,4320.6,10015.0
1781475300,4320.5,4327.0,4303.8,4306.8,6297.0
1781476200,4306.8,4308.9,4299.7,4305.3,4371.0
1781477100,4305.0,4312.1,4304.9,4306.0,2708.0
1781478000,4306.0,4308.8,4302.3,4303.1,2773.0
1781478900,4303.3,4305.1,4301.2,4303.5,1539.0
1781479800,4303.7,4306.6,4301.7,4305.6,1345.0
1781480700,4305.5,4315.6,4304.4,4314.4,2890.0
1781481600,4314.1,4321.5,4313.6,4320.2,3163.0
1781482500,4320.3,4328.5,4319.8,4320.8,3603.0
1781483400,4321.1,4326.3,4315.9,4318.7,4225.0
1781484300,4318.7,4320.9,4312.4,4313.3,3092.0
1781485200,4313.7,4321.5,4306.2,4317.2,7059.0
1781486100,4317.2,4327.7,4310.4,4324.7,4634.0
1781487000,4324.7,4340.8,4322.4,4339.1,6021.0
1781487900,4338.8,4340.3,4334.2,4337.8,2896.0
1781488800,4337.7,4347.9,4337.2,4347.6,3899.0
1781489700,4347.7,4352.6,4345.2,4349.4,3955.0
1781490600,4349.1,4355.6,4349.0,4351.4,3534.0
1781491500,4351.6,4356.9,4349.0,4350.8,3661.0
1781492400,4350.8,4352.6,4343.1,4346.5,3643.0
1781493300,4346.7,4350.7,4342.5,4345.1,2320.0
1781494200,4345.3,4348.6,4342.2,4344.4,1661.0
1781495100,4344.3,4348.4,4344.0,4345.9,1153.0
1781496000,4346.1,4348.5,4343.6,4347.4,1184.0
1781496900,4347.5,4348.9,4341.8,4348.2,2105.0
1781497800,4348.3,4351.8,4346.5,4348.8,1106.0
1781498700,4348.9,4350.4,4347.5,4349.6,747.0
1781499600,4349.2,4352.4,4345.0,4349.9,1646.0
1781500500,4350.2,4354.0,4347.0,4350.9,1541.0
1781501400,4351.4,4353.8,4333.9,4333.9,3806.0
1781502300,4334.1,4337.5,4328.5,4331.3,3229.0
1781503200,4331.2,4334.6,4323.6,4329.7,3418.0
1781504100,4329.9,4330.6,4324.0,4325.9,2542.0
1781505000,4325.8,4328.1,4321.7,4327.4,2451.0
1781505900,4327.4,4330.9,4325.2,4328.9,1862.0
1781506800,4329.1,4335.6,4326.1,4334.5,2642.0
1781507700,4334.8,4339.9,4334.0,4337.6,1780.0
1781508600,4337.9,4338.3,4332.6,4337.6,1855.0
1781509500,4337.6,4346.3,4333.7,4343.8,2509.0
1781510400,4344.0,4350.4,4342.5,4349.6,2741.0
1781511300,4349.4,4353.2,4347.6,4349.0,2353.0
1781512200,4349.3,4366.3,4348.4,4362.0,4889.0
1781513100,4362.0,4364.0,4354.8,4354.9,2305.0
1781514000,4355.1,4364.2,4355.1,4361.0,2088.0
1781514900,4361.0,4364.4,4357.3,4359.8,2546.0
1781515800,4359.7,4361.9,4355.4,4356.3,2369.0
1781516700,4356.3,4362.1,4355.6,4357.7,1385.0
1781517600,4357.9,4361.5,4356.8,4358.9,1156.0
1781518500,4358.9,4360.6,4356.9,4359.5,839.0
1781519400,4359.7,4361.5,4356.2,4358.7,1257.0
1781520300,4359.4,4362.9,4357.5,4359.2,1658.0
1781521200,4359.2,4361.0,4356.6,4359.2,1290.0
1781522100,4359.0,4362.4,4356.9,4362.1,1613.0
1781523000,4362.3,4368.9,4359.0,4359.5,3665.0
1781523900,4359.3,4359.5,4352.8,4356.3,3639.0
1781524800,4356.6,4360.0,4351.5,4352.1,2590.0
1781525700,4352.3,4359.2,4345.4,4358.5,5885.0
1781526600,4358.4,4367.9,4355.9,4366.4,4193.0
1781527500,4366.3,4371.0,4364.3,4370.6,3889.0
1781528400,4370.5,4372.2,4362.7,4371.2,4316.0
1781529300,4371.1,4377.8,4370.6,4374.7,4385.0
1781530200,4374.7,4390.9,4373.4,4385.2,10665.0
1781531100,4384.9,4386.5,4375.5,4376.7,5610.0
1781532000,4376.6,4391.7,4375.1,4379.2,8260.0
1781532900,4379.1,4386.1,4375.6,4385.4,4718.0
1781533800,4385.5,4387.2,4375.4,4378.8,4335.0
1781534700,4378.8,4385.4,4376.9,4378.6,3550.0
1781535600,4378.5,4381.1,4371.1,4372.8,4507.0
1781536500,4372.6,4380.3,4371.7,4376.0,3671.0
1781537400,4375.7,4381.9,4370.7,4379.3,3816.0
1781538300,4379.5,4382.8,4376.5,4377.7,2560.0
1781539200,4377.6,4380.3,4369.9,4373.1,2777.0
1781540100,4373.2,4374.1,4360.3,4364.4,5373.0
1781541000,4364.1,4364.5,4357.4,4357.7,3211.0
1781541900,4357.6,4361.3,4355.7,4360.6,2488.0
1781542800,4360.7,4360.7,4352.1,4355.2,3782.0
1781543700,4355.3,4356.4,4350.4,4351.2,2741.0
1781544600,4351.1,4351.3,4342.3,4343.4,4672.0
1781545500,4343.3,4347.0,4341.6,4346.1,2689.0
1781546400,4346.3,4346.4,4338.9,4345.6,2935.0
1781547300,4345.8,4349.7,4344.1,4346.1,2449.0
1781548200,4346.3,4347.7,4343.2,4346.0,1750.0
1781549100,4346.6,4349.2,4345.6,4347.2,1168.0
1781550000,4347.4,4348.4,4341.6,4344.1,1745.0
1781550900,4344.0,4346.5,4342.5,4343.0,1309.0
1781551800,4343.2,4345.3,4340.0,4341.0,1260.0
1781552700,4340.9,4343.2,4338.4,4342.3,2190.0
1781553600,4342.5,4343.9,4337.0,4337.9,1529.0
1781554500,4337.6,4340.3,4332.5,4334.7,1653.0
1781555400,4334.9,4335.5,4330.0,4331.5,1125.0
1781556300,4331.4,4332.6,4328.4,4331.3,1266.0
1781560800,4331.3,4336.9,4329.3,4331.2,2063.0
1781561700,4331.1,4334.6,4326.7,4329.9,2645.0
1781562600,4329.6,4335.8,4327.9,4333.3,1451.0
1781563500,4333.3,4335.7,4331.3,4333.2,1188.0
1781564400,4333.2,4338.1,4332.7,4334.6,1746.0
1781565300,4334.6,4337.3,4332.2,4337.1,1409.0
1781566200,4336.8,4341.3,4334.6,4339.8,2102.0
1781567100,4339.9,4340.7,4334.5,4336.9,1902.0
1781568000,4336.9,4339.8,4334.1,4334.8,1968.0
1781568900,4334.7,4337.0,4327.7,4329.3,3776.0
1781569800,4329.4,4334.6,4328.6,4332.0,2840.0
1781570700,4331.7,4343.0,4331.4,4340.1,2776.0
1781571600,4339.9,4346.9,4336.0,4340.6,6402.0
1781572500,4340.6,4344.9,4336.8,4340.1,3031.0
1781573400,4340.2,4341.2,4333.7,4335.6,3212.0
1781574300,4335.7,4340.1,4332.6,4334.4,2232.0
1781575200,4334.3,4335.0,4327.8,4330.3,2893.0
1781576100,4330.4,4333.7,4328.9,4333.5,1124.0
1781577000,4333.5,4339.2,4330.1,4332.9,2392.0
1781577900,4333.2,4341.6,4332.0,4339.6,2104.0
1781578800,4339.4,4342.0,4338.0,4339.3,1539.0
1781579700,4339.3,4343.5,4336.2,4342.0,1644.0
1781580600,4342.3,4354.0,4340.6,4352.9,3297.0
1781581500,4352.6,4354.8,4349.8,4351.6,2200.0
1781582400,4351.6,4353.1,4346.3,4348.0,1681.0
1781583300,4347.7,4348.6,4342.9,4343.7,1448.0
1781584200,4343.7,4346.5,4342.7,4344.2,1603.0
1781585100,4344.5,4344.9,4342.1,4343.1,1230.0
1781586000,4343.4,4350.3,4342.8,4347.5,1751.0
1781586900,4347.5,4349.1,4345.5,4348.2,820.0
1781587800,4348.2,4351.8,4336.7,4338.7,3639.0
1781588700,4338.7,4342.2,4335.4,4337.1,2344.0
1781589600,4337.3,4340.9,4334.2,4340.0,1984.0
1781590500,4339.7,4339.8,4335.5,4337.8,1320.0
1781591400,4338.1,4341.5,4335.4,4337.4,1500.0
1781592300,4337.3,4345.5,4337.2,4345.0,1674.0
1781593200,4345.0,4349.7,4343.6,4347.1,2029.0
1781594100,4347.0,4350.9,4345.2,4350.2,1577.0
1781595000,4350.2,4354.6,4347.2,4348.7,2147.0
1781595900,4348.7,4357.1,4347.8,4356.6,2134.0
1781596800,4356.4,4361.8,4354.1,4359.4,2449.0
1781597700,4359.2,4365.3,4359.0,4362.8,2675.0
1781598600,4362.9,4367.0,4360.6,4364.9,2008.0
1781599500,4364.9,4369.5,4362.3,4368.3,1784.0
1781600400,4368.5,4369.8,4365.4,4367.4,1719.0
1781601300,4367.7,4367.8,4359.3,4361.0,2494.0
1781602200,4361.0,4367.4,4360.7,4363.1,2358.0
1781603100,4363.2,4369.2,4361.2,4365.9,1430.0
1781604000,4366.1,4367.5,4363.9,4367.0,985.0
1781604900,4367.0,4367.8,4364.4,4365.5,934.0
1781605800,4365.6,4367.9,4363.1,4367.7,1016.0
1781606700,4367.6,4370.2,4367.5,4369.7,1317.0
1781607600,4369.7,4370.7,4360.2,4362.6,2648.0
1781608500,4362.2,4364.3,4359.0,4362.9,1708.0
1781609400,4362.9,4363.1,4355.5,4359.4,2679.0
1781610300,4359.4,4362.7,4357.4,4361.7,1839.0
1781611200,4361.6,4366.7,4359.1,4365.5,2977.0
1781612100,4365.5,4366.0,4358.2,4364.6,2734.0
1781613000,4364.4,4371.1,4362.4,4370.8,3899.0
1781613900,4370.7,4376.5,4369.6,4376.0,4342.0
1781614800,4375.8,4376.3,4363.4,4364.9,5517.0
1781615700,4365.5,4366.0,4354.2,4356.1,5546.0
1781616600,4356.0,4361.9,4354.6,4360.0,4743.0
1781617500,4360.0,4361.6,4352.2,4352.8,5301.0
1781618400,4352.6,4360.0,4352.1,4356.7,4812.0
1781619300,4356.6,4356.6,4338.2,4340.4,9543.0
