Omega Sweep Harness S51 X3 -- pairwise 2-factor (490 combos/engine)
ticks: /Users/jo/Tick/duka_ticks/XAUUSD_2024-03_2026-04_combined.csv
n_ticks: 154265439
wall_time: 1235.3s (20.6 min)

========== HBG top-50 by score ==========
combo  min_range max_range sl_frac   tp_rr     trail_frac  trades   wr%  total_pnl   stddev_q      score
83     11.0000   15.0000   80.0000   50.0000   1.5000       2802  45.3     -19.30     3.6899    -4.1142
90     14.0000   15.0000   80.0000   50.0000   1.5000       2412  45.8     -15.59     2.7830    -4.1210
82     11.0000   15.0000   63.4960   50.0000   1.5000       2869  45.3     -19.69     3.7741    -4.1248
48     18.0000   30.0000   40.0000   50.0000   1.5000       2401  45.3     -15.87     2.7986    -4.1782
89     14.0000   15.0000   63.4960   50.0000   1.5000       2521  46.0     -16.17     2.8543    -4.1947
280    9.0000    24.0000   40.0000   25.0000   1.5000       1583  43.7     -10.03     1.2997    -4.3596
183    14.0000   15.0000   40.0000   50.0000   0.9449       4255  45.9     -27.82     5.3683    -4.3679
281    9.0000    24.0000   40.0000   31.4980   1.5000       1585  43.7     -10.05     1.2951    -4.3769
282    9.0000    24.0000   40.0000   39.6850   1.5000       1585  43.7     -10.05     1.2951    -4.3769
134    14.0000   15.0000   40.0000   31.4980   1.5000       2177  43.7     -16.59     2.7634    -4.4081
135    14.0000   15.0000   40.0000   39.6850   1.5000       2177  43.7     -16.59     2.7634    -4.4081
230    9.0000    19.0000   80.0000   50.0000   1.5000       2551  45.5     -17.12     2.8450    -4.4535
229    9.0000    19.0000   63.4960   50.0000   1.5000       2579  45.5     -17.31     2.8816    -4.4591
133    14.0000   15.0000   40.0000   25.0000   1.5000       2148  43.6     -16.02     2.5855    -4.4673
336    9.0000    30.0000   40.0000   50.0000   0.7500       2786  40.7     -16.45     2.6511    -4.5049
47     18.0000   24.0000   40.0000   50.0000   1.5000       2825  45.8     -18.20     3.0113    -4.5373
184    14.0000   15.0000   40.0000   50.0000   1.1906       4393  46.9     -29.59     5.4982    -4.5531
46     18.0000   19.0000   40.0000   50.0000   1.5000       3329  45.0     -24.32     4.3195    -4.5717
98     5.0000    15.0000   40.0000   25.0000   1.5000       1724  42.6     -11.91     1.5996    -4.5797
99     5.0000    15.0000   40.0000   31.4980   1.5000       1724  42.6     -11.91     1.5996    -4.5797
100    5.0000    15.0000   40.0000   39.6850   1.5000       1724  42.6     -11.91     1.5996    -4.5797
182    14.0000   15.0000   40.0000   50.0000   0.7500       4075  41.5     -26.03     4.6754    -4.5864
107    6.0000    15.0000   40.0000   39.6850   1.5000       1749  43.7     -11.73     1.5488    -4.6013
105    6.0000    15.0000   40.0000   25.0000   1.5000       1749  43.7     -11.73     1.5488    -4.6013
106    6.0000    15.0000   40.0000   31.4980   1.5000       1749  43.7     -11.73     1.5488    -4.6013
434    9.0000    15.0000   80.0000   50.0000   0.7500       2840  40.3     -17.99     2.8627    -4.6584
427    9.0000    15.0000   63.4960   50.0000   0.7500       2875  40.4     -18.12     2.8865    -4.6633
39     14.0000   19.0000   40.0000   50.0000   1.5000       3836  45.1     -27.23     4.8309    -4.6702
337    9.0000    30.0000   40.0000   50.0000   0.9449       2855  44.8     -17.24     2.6675    -4.6995
428    9.0000    15.0000   63.4960   50.0000   0.9449       2934  44.6     -19.56     3.1577    -4.7040
338    9.0000    30.0000   40.0000   50.0000   1.1906       2944  46.7     -18.27     2.8792    -4.7096
435    9.0000    15.0000   80.0000   50.0000   0.9449       2898  44.5     -19.46     3.1300    -4.7128
237    9.0000    24.0000   80.0000   50.0000   1.5000       2092  45.7     -12.60     1.6572    -4.7424
34     11.0000   30.0000   40.0000   50.0000   1.5000       2860  45.0     -17.96     2.7619    -4.7734
436    9.0000    15.0000   80.0000   50.0000   1.1906       2944  45.8     -19.92     3.1701    -4.7772
236    9.0000    24.0000   63.4960   50.0000   1.5000       2122  45.7     -12.74     1.6493    -4.8075
429    9.0000    15.0000   63.4960   50.0000   1.1906       2981  45.9     -20.02     3.1627    -4.8101
442    9.0000    15.0000   40.0000   25.0000   0.9449       2150  43.9     -14.87     2.0795    -4.8276
456    9.0000    15.0000   40.0000   39.6850   0.9449       2154  43.9     -14.89     2.0740    -4.8448

========== AsianRange top-50 by score ==========
combo  buffer    min_range max_range sl_ticks  tp_ticks   trades   wr%  total_pnl   stddev_q      score
146    1.0000    3.0000    50.0000   160.0000  200.0000      336  43.5      -0.12     0.1554    -0.1039
355    0.5000    3.0000    31.4980   127.0000  200.0000      294  36.1      -0.27     0.1554    -0.2316
348    0.5000    3.0000    25.0000   127.0000  200.0000      262  35.5      -0.29     0.1259    -0.2543
480    0.5000    3.0000    50.0000   127.0000  252.0000      354  31.1      -0.33     0.2107    -0.2699
362    0.5000    3.0000    39.6850   127.0000  200.0000      324  35.8      -0.32     0.1362    -0.2830
347    0.5000    3.0000    25.0000   101.0000  200.0000      262  28.6      -0.39     0.1751    -0.3308
481    0.5000    3.0000    50.0000   127.0000  317.0000      354  26.0      -0.41     0.2006    -0.3423
49     0.2500    3.0000    25.0000   80.0000   200.0000      271  22.9      -0.43     0.1941    -0.3618
356    0.5000    3.0000    31.4980   160.0000  200.0000      294  40.5      -0.42     0.1301    -0.3716
