window,start_iso,end_iso,days,trades,wins,win_rate_pct,gross_pnl,avg_pnl,sum_pos,sum_neg,pf,n_tp_hit,n_sl_hit,n_loss_cut,n_be_cut,n_other,worst_trade,pass
1,2024-03-01T02:00:00Z,2024-09-13T06:44:59Z,196.2,215,77,35.81,-98.8136,-0.459598,27.9711,-126.7850,0.2206,77,134,0,0,4,-25.5770,no
2,2024-09-13T06:44:59Z,2025-03-28T11:29:59Z,196.2,218,84,38.53,-115.5870,-0.530216,32.3559,-147.9430,0.2187,84,130,0,0,4,-30.7151,no
3,2025-03-28T11:29:59Z,2025-10-10T16:14:59Z,196.2,212,93,43.87,-16.7042,-0.078793,61.0482,-77.7524,0.7852,93,118,0,0,1,-39.9085,no
4,2025-10-10T16:14:59Z,2026-04-24T20:59:58Z,196.2,201,78,38.81,106.7360,0.531025,204.8300,-98.0937,2.0881,76,123,0,0,2,-3.1289,yes
AGGREGATE,,,784.8,846,332,39.24,-124.3688,-0.147008,326.2052,-450.5741,0.7240,330,505,0,0,11,-39.9085,
