event_ts_unix,event_ts_utc,event_utc_weekday,symbol,side,entry_px,tp,sl,verdict,reason
1773735155,"2026-03-17T08:12:35Z","Tue","NAS100","SHORT",24533.8500,24239.4438,24631.9854,"BLOCKED","min_breakout_gate"
1773735177,"2026-03-17T08:12:57Z","Tue","NAS100","LONG",24538.4500,24832.9114,24440.2962,"BLOCKED","momentum_gate"
1773735179,"2026-03-17T08:12:59Z","Tue","USTEC.F","LONG",24554.9250,24849.5841,24456.7053,"BLOCKED","min_breakout_gate"
1773735180,"2026-03-17T08:13:00Z","Tue","UK100","LONG",10331.8000,10455.7816,10290.4728,"BLOCKED","min_breakout_gate"
1773735182,"2026-03-17T08:13:02Z","Tue","US500.F","LONG",6676.1250,6756.2385,6649.4205,"BLOCKED","min_breakout_gate"
1773735187,"2026-03-17T08:13:07Z","Tue","DJ30.F","LONG",46806.4500,47368.1274,46619.2242,"BLOCKED","min_breakout_gate"
1773735190,"2026-03-17T08:13:10Z","Tue","DJ30.F","LONG",46814.9500,47376.7294,46627.6902,"BLOCKED","min_breakout_gate"
1773735191,"2026-03-17T08:13:11Z","Tue","US500.F","LONG",6677.2450,6757.3719,6650.5360,"BLOCKED","min_breakout_gate"
1773735209,"2026-03-17T08:13:29Z","Tue","USOIL.F","SHORT",97.2955,95.8361,97.7820,"BLOCKED","min_breakout_gate"
1773735238,"2026-03-17T08:13:58Z","Tue","NAS100","LONG",24551.0000,24845.6120,24452.7960,"BLOCKED","min_breakout_gate"
1773735246,"2026-03-17T08:14:06Z","Tue","NAS100","SHORT",24542.8500,24248.3358,24641.0214,"BLOCKED","min_breakout_gate"
1773735246,"2026-03-17T08:14:06Z","Tue","USTEC.F","SHORT",24559.5450,24264.8305,24657.7832,"BLOCKED","min_breakout_gate"
1773735253,"2026-03-17T08:14:13Z","Tue","UK100","SHORT",10328.9000,10204.9532,10370.2156,"BLOCKED","min_breakout_gate"
1773735254,"2026-03-17T08:14:14Z","Tue","DJ30.F","SHORT",46801.4500,46239.8326,46988.6558,"BLOCKED","min_breakout_gate"
1773735261,"2026-03-17T08:14:21Z","Tue","USOIL.F","LONG",97.5505,99.0138,97.0627,"ELIGIBLE","pass"
1773735261,"2026-03-17T08:14:21Z","Tue","US500.F","SHORT",6674.3750,6594.2825,6701.0725,"BLOCKED","min_breakout_gate"
1773735323,"2026-03-17T08:15:23Z","Tue","UK100","LONG",10331.1000,10455.0732,10289.7756,"BLOCKED","min_breakout_gate"
1773735327,"2026-03-17T08:15:27Z","Tue","EURUSD","SHORT",1.1489,1.1479,1.1493,"BLOCKED","momentum_gate"
1773735337,"2026-03-17T08:15:37Z","Tue","ESTX50","SHORT",5718.8000,5650.1744,5741.6752,"BLOCKED","min_breakout_gate"
1773735337,"2026-03-17T08:15:37Z","Tue","UK100","SHORT",10325.6500,10201.7422,10366.9526,"BLOCKED","min_breakout_gate"
1773735340,"2026-03-17T08:15:40Z","Tue","US500.F","SHORT",6673.1250,6593.0475,6699.8175,"BLOCKED","min_breakout_gate"
1773735349,"2026-03-17T08:15:49Z","Tue","ESTX50","LONG",5721.9500,5790.6134,5699.0622,"BLOCKED","min_breakout_gate"
1773735359,"2026-03-17T08:15:59Z","Tue","DJ30.F","LONG",46797.4500,47359.0194,46610.2602,"BLOCKED","momentum_gate"
1773735393,"2026-03-17T08:16:33Z","Tue","USTEC.F","LONG",24553.2950,24847.9345,24455.0818,"BLOCKED","min_breakout_gate"
1773735511,"2026-03-17T08:18:31Z","Tue","USTEC.F","SHORT",24552.6750,24258.0429,24650.8857,"BLOCKED","momentum_gate"
1773735602,"2026-03-17T08:20:02Z","Tue","EURUSD","LONG",1.1492,1.1501,1.1487,"BLOCKED","momentum_gate"
1773735646,"2026-03-17T08:20:46Z","Tue","UK100","SHORT",10335.4000,10211.3752,10376.7416,"BLOCKED","min_breakout_gate"
1773735723,"2026-03-17T08:22:03Z","Tue","UK100","LONG",10336.6000,10460.6392,10295.2536,"BLOCKED","min_breakout_gate"
1773735741,"2026-03-17T08:22:21Z","Tue","NAS100","LONG",24552.5000,24847.1300,24454.2900,"BLOCKED","min_breakout_gate"
1773735757,"2026-03-17T08:22:37Z","Tue","US500.F","LONG",6679.3750,6759.5275,6652.6575,"BLOCKED","min_breakout_gate"
1773735787,"2026-03-17T08:23:07Z","Tue","NAS100","SHORT",24551.3000,24256.6844,24649.5052,"BLOCKED","min_breakout_gate"
1773735788,"2026-03-17T08:23:08Z","Tue","USTEC.F","SHORT",24565.9250,24271.1339,24664.1887,"BLOCKED","min_breakout_gate"
1773735796,"2026-03-17T08:23:16Z","Tue","US500.F","SHORT",6677.1250,6596.9995,6703.8335,"BLOCKED","min_breakout_gate"
1773735807,"2026-03-17T08:23:27Z","Tue","UK100","SHORT",10332.9000,10208.9052,10374.2316,"BLOCKED","vol_gate"
1773735858,"2026-03-17T08:24:18Z","Tue","UK100","LONG",10338.7000,10462.7644,10297.3452,"BLOCKED","min_breakout_gate"
1773735880,"2026-03-17T08:24:40Z","Tue","ESTX50","SHORT",5729.0500,5660.3014,5751.9662,"BLOCKED","min_breakout_gate"
1773735882,"2026-03-17T08:24:42Z","Tue","US500.F","SHORT",6675.6250,6595.5175,6702.3275,"BLOCKED","min_breakout_gate"
