ts_unix,symbol,side,engine,entry_px,exit_px,pnl,mfe,mae,hold_sec,exit_reason,spread_at_entry,latency_ms,regime
1776878533,XAUUSD,SHORT,CandleFlowEngine,4736.5,4736.22,0.22,0.53,0,23,IMB_EXIT,0,0,CANDLE_FLOW
1776879017,XAUUSD,LONG,CandleFlowEngine,4735.53,4736.2,0.39,1.19,0,21,IMB_EXIT,0.22,0,CANDLE_FLOW
1776879820,XAUUSD,SHORT,CandleFlowEngine,4736.48,4736.41,0.01,0.33,0,20,IMB_EXIT,0,0,CANDLE_FLOW
1776880350,XAUUSD,SHORT,CandleFlowEngine,4737.42,4737.48,-0.12,0.29,0,21,IMB_EXIT,0,0,CANDLE_FLOW
1776880758,XAUUSD,LONG,CandleFlowEngine,4737.92,4736.35,-1.85,0,0,3,SL_HIT,0.22,0,CANDLE_FLOW
1776880840,XAUUSD,SHORT,CompBreakout,4735.25,4736.27,-1.3,14,0,6,REENTER_COMP,0.22,0,CBE
1776883217,XAUUSD,SHORT,CandleFlowEngine,4737.83,4737.83,-0.06,0.49,0,20,IMB_EXIT,0,0,CANDLE_FLOW
1776883511,XAUUSD,LONG,CandleFlowEngine,4739.57,4738.27,-1.58,0,0,19,SL_HIT,0.22,0,CANDLE_FLOW
1776883553,XAUUSD,LONG,CandleFlowEngine,4741.52,4741.01,-0.79,0.05,0,21,IMB_EXIT,0.22,0,CANDLE_FLOW
1776890087,XAUUSD,LONG,DXYDivergence,4739.48,4737.26,-12.5,0,-336,602,TIMEOUT,0.22,4.791,COMPRESSION
1776890087,XAUUSD,LONG,DXYDivergence,4739.48,4737.26,-12.5,0,-336,602,TIMEOUT,0.22,4.791,COMPRESSION
1776895231,XAUUSD,SHORT,HybridBracketGold,4739.11,4744.56,-5.51,0,0,1,SL_HIT,0,0,COMPRESSION
1776895366,XAUUSD,LONG,HybridBracketGold,4746.69,4742.35,-4.4,0,0,1,SL_HIT,0,0,COMPRESSION
1776900660,XAUUSD,SHORT,EMACross,4726.68,4727.8,-1.4,75.5,0,180,TIMEOUT,0.22,0,EMA_CROSS
1776903368,XAUUSD,SHORT,XAUUSD_BRACKET,4695.8,4706.09,-10.57,1.51,1116,70,SL_HIT,0.22,0,NEUTRAL
1776903502,XAUUSD,LONG,HybridBracketGold,4710.67,4710.65,-0.08,0.09,0,1,TRAIL_HIT,0,0,COMPRESSION
1776903513,XAUUSD,LONG,GoldFlowEngine,4713.48,4710.98,-2.78,0,0,8,ADVERSE_EARLY,0.22,0,FLOW
1776903581,XAUUSD,LONG,XAUUSD_BRACKET,4721.66,4721.66,-0.28,32.04,90,6098,BE_HIT,0.22,0,NEUTRAL
1776903438,XAUUSD,LONG,MacroCrash,4707.63,4709.82,2.13,46.07,0,7200,MAX_HOLD,0,0,EXPANSION
1776909805,XAUUSD,LONG,XAUUSD_BRACKET,4724.12,4695.8,-28.6,0,2825,12439,SL_HIT,0.22,0,NEUTRAL
1776922245,XAUUSD,SHORT,DXYDivergence,4695.68,4694.68,3.6,330,0,9,SL_HIT,0.22,3.656,TREND
1776922280,XAUUSD,LONG,DomPersistEngine,4700.93,4699.17,-2.04,0,0,5,IMM_REVERSAL,0.22,0,DOM_PERSIST
1776922945,XAUUSD,SHORT,CompBreakout,4700.89,4702.27,-1.66,0,0,8,REENTER_COMP,0.22,0,CBE
1776925819,XAUUSD,LONG,DomPersistEngine,4711.83,4710.67,-1.43,0,0,6,IMM_REVERSAL,0.21,0,DOM_PERSIST
1776926106,XAUUSD,SHORT,CompBreakout,4710.92,4712.43,-1.79,151,0,51,REENTER_COMP,0.22,0,CBE
1776926160,XAUUSD,SHORT,EMACross,4710.99,4714.27,-3.56,31,0,93,SL,0.22,0,EMA_CROSS
1776926715,XAUUSD,LONG,DomPersistEngine,4714.87,4713.79,-1.35,6.48,0,600,MAX_HOLD_TIMEOUT,0.21,0,DOM_PERSIST
1776927965,XAUUSD,LONG,CandleFlowEngine,4711.42,4712.61,0.565,0.65,0,21,PARTIAL_TP,0,0,CANDLE_FLOW
1776927965,XAUUSD,LONG,CandleFlowEngine,4711.42,4712.03,0.275,0.95,0,43,IMB_EXIT,0,0,CANDLE_FLOW
1776928308,XAUUSD,LONG,CandleFlowEngine,4711.19,4711.44,0.19,1.05,0,36,IMB_EXIT,0,0,CANDLE_FLOW
1776928580,XAUUSD,LONG,CandleFlowEngine,4710.36,4710.97,0.275,0.65,0,7,PARTIAL_TP,0,0,CANDLE_FLOW
1776928580,XAUUSD,LONG,CandleFlowEngine,4710.36,4712.61,1.095,1.18,0,20,IMB_EXIT,0,0,CANDLE_FLOW
1776928851,XAUUSD,LONG,CandleFlowEngine,4709.3,4708.67,-0.69,0.15,0,22,IMB_EXIT,0,0,CANDLE_FLOW
1776928976,XAUUSD,LONG,CandleFlowEngine,4705.8,4703.45,-2.41,0,0,60,IMB_EXIT,0,0,CANDLE_FLOW
1776929046,XAUUSD,SHORT,DomPersistEngine,4705.65,4708.26,-2.89,2.47,0,158,SL_HIT,0.22,0,DOM_PERSIST
1776929760,XAUUSD,LONG,EMACross,4712.23,4711.07,-1.44,129,0,180,TIMEOUT,0.22,0,EMA_CROSS
1776930360,XAUUSD,SHORT,BBMeanRev,4714.77,4715.04,-0.55,0,0,0,SL,0.22,0,BB_MEAN_REV
1776930390,XAUUSD,SHORT,BBMeanRev,4713.97,4715.92,-2.23,90,0,120,SL,0.22,0,BB_MEAN_REV
1776931236,XAUUSD,SHORT,CandleFlowEngine,4723.92,4724.51,-0.65,0.19,0,28,IMB_EXIT,0,0,CANDLE_FLOW
1776931265,XAUUSD,SHORT,BBMeanRev,4724.5,4724.72,-0.5,0,0,0,SL,0.22,0,BB_MEAN_REV
1776931982,XAUUSD,SHORT,CandleFlowEngine,4720.34,4720.35,-0.07,0.45,0,24,IMB_EXIT,0,0,CANDLE_FLOW
1776933860,XAUUSD,SHORT,CandleFlowEngine,4704.97,4703.84,0.425,0.62,0,34,PARTIAL_TP,0.22,0,CANDLE_FLOW
1776933860,XAUUSD,SHORT,CandleFlowEngine,4704.97,4703.25,0.72,1.115,0,67,IMB_EXIT,0.22,0,CANDLE_FLOW
1776934249,XAUUSD,LONG,DomPersistEngine,4706.22,4704.09,-2.41,1.4,0,197,SL_HIT,0.22,0,DOM_PERSIST
1776934935,XAUUSD,LONG,CandleFlowEngine,4700.37,4699.24,-1.19,0.96,0,28,IMB_EXIT,0,0,CANDLE_FLOW
1776935334,XAUUSD,LONG,CandleFlowEngine,4695.27,4696.07,0.74,0.91,0,32,IMB_EXIT,0,0,CANDLE_FLOW
1776935641,XAUUSD,SHORT,CandleFlowEngine,4697.43,4696.3,0.425,0.62,0,17,PARTIAL_TP,0.22,0,CANDLE_FLOW
1776935641,XAUUSD,SHORT,CandleFlowEngine,4697.43,4697.51,-0.18,0.62,0,45,SL_HIT,0.22,0,CANDLE_FLOW
1776936367,XAUUSD,SHORT,CandleFlowEngine,4700.21,4701.81,-1.88,0.11,0,6,SL_HIT,0.22,0,CANDLE_FLOW
1776936994,XAUUSD,SHORT,CompBreakout,4700.2,4701.38,-1.36,77.5,0,51,REENTER_COMP,0.12,0,CBE
1776937056,XAUUSD,SHORT,CandleFlowEngine,4700.2,4701.07,-1.15,0,0,5,SL_HIT,0.22,0,CANDLE_FLOW
1776937140,XAUUSD,SHORT,EMACross,4700.47,4700.84,-0.65,138,0,180,TIMEOUT,0.22,0,EMA_CROSS
1776938055,XAUUSD,SHORT,SessionMomentum,4695.21,4700.21,-5.28,66,-460.5,72,SL_HIT,0.22,6.199,IMPULSE
1776938640,XAUUSD,LONG,EMACross,4700.57,4700.13,-0.72,116,0,180,TIMEOUT,0.22,0,EMA_CROSS
1776938888,XAUUSD,SHORT,CompBreakout,4697.56,4694.04,3.24,437,0,58,TRAIL_HIT,0.22,0,CBE
1776938946,XAUUSD,SHORT,CandleFlowEngine,4693.8,4692.59,0.465,0.66,0,26,PARTIAL_TP,0.22,0,CANDLE_FLOW
