rank,combo_id,MIN_RANGE,MAX_RANGE,EXPANSION_MULT,vol_allow_max,n_trades,n_wins,net_WR_pct,gross_WR_pct,net_usd,gross_usd,cost_usd,mean_gross_per_trade,mean_net_per_trade,PF,max_dd_usd,tp_count,trail_count,sl_count,be_count
36,23,6.00,15.00,1.250,2,1074,396,36.87,62.48,-3679.34,-939.35,2739.99,-0.8746,-3.4258,0.1221,3682.32,1,670,403,0
37,42,8.00,20.00,1.000,1,1138,429,37.70,65.38,-3686.09,-773.75,2912.34,-0.6799,-3.2391,0.1123,3686.09,0,744,394,0
38,48,8.00,30.00,1.000,1,1139,428,37.58,65.76,-3704.32,-799.83,2904.49,-0.7022,-3.2523,0.1104,3704.32,0,749,390,0
39,35,6.00,30.00,1.250,2,1126,404,35.88,65.01,-3779.66,-838.33,2941.33,-0.7445,-3.3567,0.1248,3782.63,1,731,394,0
40,43,8.00,20.00,1.000,2,1315,509,38.71,66.54,-3826.48,-507.72,3318.76,-0.3861,-2.9099,0.1514,3829.27,1,874,440,0
41,37,8.00,15.00,1.000,2,1285,500,38.91,63.81,-4051.39,-854.71,3196.68,-0.6651,-3.1528,0.1332,4054.18,1,819,465,0
42,49,8.00,30.00,1.000,2,1332,505,37.91,65.77,-4175.45,-789.39,3386.06,-0.5926,-3.1347,0.1325,4178.24,1,875,456,0
43,20,6.00,15.00,1.100,1,1571,613,39.02,61.04,-4963.45,-1140.99,3822.46,-0.7263,-3.1594,0.1192,4965.30,0,959,612,0
44,32,6.00,30.00,1.100,1,1607,625,38.89,61.54,-5133.27,-1207.74,3925.53,-0.7515,-3.1943,0.1271,5135.13,0,989,618,0
45,26,6.00,20.00,1.100,1,1604,622,38.78,60.91,-5170.41,-1237.32,3933.08,-0.7714,-3.2234,0.1229,5172.26,0,977,627,0
46,27,6.00,20.00,1.100,2,1747,670,38.35,60.50,-5557.86,-1313.34,4244.52,-0.7518,-3.1814,0.1199,5559.65,1,1056,690,0
47,21,6.00,15.00,1.100,2,1719,664,38.63,59.16,-5622.14,-1474.59,4147.55,-0.8578,-3.2706,0.1164,5623.92,1,1016,702,0
48,33,6.00,30.00,1.100,2,1755,659,37.55,59.72,-5858.48,-1554.96,4303.52,-0.8860,-3.3382,0.1152,5860.27,1,1047,707,0
49,18,6.00,15.00,1.000,1,2042,811,39.72,58.62,-6244.30,-1440.58,4803.71,-0.7055,-3.0579,0.1212,6247.75,0,1197,845,0
50,30,6.00,30.00,1.000,1,2078,822,39.56,59.05,-6441.76,-1532.20,4909.55,-0.7373,-3.1000,0.1238,6445.20,0,1227,851,0
51,24,6.00,20.00,1.000,1,2059,821,39.87,58.62,-6443.83,-1600.54,4843.29,-0.7773,-3.1296,0.1190,6447.28,0,1207,852,0
52,4,4.00,15.00,1.250,1,2224,911,40.96,57.78,-6613.59,-1484.59,5129.00,-0.6675,-2.9737,0.1276,6613.72,0,1285,939,0
53,10,4.00,20.00,1.250,1,2256,917,40.65,58.02,-6822.64,-1588.96,5233.68,-0.7043,-3.0242,0.1217,6822.77,0,1309,947,0
54,16,4.00,30.00,1.250,1,2265,914,40.35,58.15,-6909.57,-1660.46,5249.11,-0.7331,-3.0506,0.1209,6909.69,0,1317,948,0
55,5,4.00,15.00,1.250,2,2267,883,38.95,56.20,-6996.99,-1712.24,5284.75,-0.7553,-3.0865,0.1227,6996.99,0,1274,993,0
56,11,4.00,20.00,1.250,2,2296,882,38.41,57.40,-7020.40,-1583.21,5437.19,-0.6896,-3.0577,0.1224,7020.40,0,1318,978,0
57,17,4.00,30.00,1.250,2,2319,893,38.51,57.87,-7096.20,-1580.87,5515.33,-0.6817,-3.0600,0.1233,7096.20,0,1342,977,0
58,19,6.00,15.00,1.000,2,2263,895,39.55,56.47,-7137.99,-1833.97,5304.02,-0.8104,-3.1542,0.1222,7138.11,0,1278,985,0
59,25,6.00,20.00,1.000,2,2286,893,39.06,57.26,-7182.79,-1784.85,5397.94,-0.7808,-3.1421,0.1196,7182.92,0,1309,977,0
60,31,6.00,30.00,1.000,2,2299,889,38.67,57.46,-7287.41,-1833.84,5453.57,-0.7977,-3.1698,0.1200,7287.54,0,1321,978,0
