symbol,date,open,high,close,best_pct,intraday_pct,vs_prevclose_pct
ITOC,2026-06-08,0.2780,1.1500,0.5060,314,314,311
KMRK,2026-06-10,1.6800,6.5900,1.8600,307,292,307
RYOJ,2026-05-22,2.4300,8.1000,5.0000,303,233,303
MYPSW,2026-06-05,0.0010,0.0040,0.0020,300,300,300
PRFX,2026-05-29,4.7400,5.3900,3.0000,293,14,293
SCAG,2026-06-05,0.2720,1.0700,0.8430,293,293,274
WCT,2026-06-03,1.5950,3.6100,2.5700,292,126,292
GELS,2026-06-11,0.5220,2.0100,1.5300,290,285,290
ATIIU,2026-05-26,50.9900,50.9900,16.1500,289,0,289
CIIT,2026-06-10,3.2100,4.6500,1.6100,287,45,287
YOUL,2026-06-09,0.3880,1.3000,1.0300,286,235,286
EPSM,2026-06-09,1.5800,4.4700,2.0500,276,183,276
XOS,2026-06-03,6.4800,8.2700,7.4600,271,28,271
AKTX,2026-05-22,9.9200,18.9890,18.2700,269,91,269
YMAT,2026-05-26,1.4900,1.6600,1.3800,265,11,265
LILKV,2026-06-02,8.0000,12.6500,5.6000,261,58,261
GOVX,2026-05-18,3.0300,4.3900,2.2100,257,45,257
SPRC,2026-05-28,13.2500,15.6500,10.5500,256,18,256
PIII,2026-05-15,5.2150,14.3500,11.2900,256,175,256
RMSG,2026-06-05,3.2650,3.9000,1.8300,255,19,255
AIIO,2026-05-14,4.3850,9.2000,5.6400,252,110,252
QTEX,2026-05-22,0.4760,1.0600,0.7270,250,123,250
VRAX,2026-05-18,0.3030,0.5340,0.2350,247,76,247
DXST,2026-06-02,2.9700,5.4700,4.9500,242,84,242
DEVS,2026-05-29,0.2810,0.4270,0.3000,242,52,242
AMST,2026-05-19,2.4200,2.6700,1.7300,240,10,240
MPU,2026-06-09,0.2500,0.7800,0.3500,239,212,239
VERU,2026-06-04,2.1800,7.3300,4.2300,236,236,226
SNAL,2026-05-14,1.3950,1.6700,1.0800,233,20,233
LESL,2026-05-14,1.8400,4.7500,3.5000,232,158,232
PCLA,2026-05-22,6.1300,7.4000,6.6200,229,21,229
QTEXW,2026-05-22,0.1000,0.2300,0.1160,229,130,229
SLGB,2026-06-09,1.2000,1.6800,0.7290,227,40,227
ABTS,2026-06-01,1.5800,3.2300,2.1400,226,104,226
TJGC,2026-06-03,2.5500,7.0700,6.1100,223,177,223
BJDX,2026-06-02,6.1200,7.0000,4.3400,223,14,223
CHOW,2026-06-10,0.9160,1.1000,0.7310,215,20,215
HCAI,2026-05-18,9.0400,16.9600,11.0000,206,88,206
AIM,2026-06-01,0.5500,1.2500,0.9000,205,127,205
CDT,2026-05-29,1.1000,2.8900,1.0400,204,163,204
WOK,2026-05-13,1.2400,3.7500,2.7600,202,202,-44
ELPW,2026-06-09,1.3300,2.3300,1.1600,202,75,202
ATPC,2026-05-28,5.7700,8.5000,6.0700,198,47,198
MWC,2026-05-20,12.0200,13.9500,7.1500,196,16,196
CCHH,2026-06-11,1.0150,1.0200,0.5200,195,0,195
SDOT,2026-06-03,6.0800,9.4600,6.7500,188,56,188
CGTL,2026-05-28,0.2830,0.7950,0.6990,186,181,186
SMTK,2026-06-08,0.6190,1.1550,0.8400,182,87,182
NEXR,2026-05-29,1.5800,3.2700,1.3600,182,107,182
MRNO,2026-05-15,0.5000,0.8200,0.5660,181,64,181
SOAR,2026-06-01,0.4220,0.4750,0.2480,179,13,179
INDP,2026-06-04,2.1400,5.9600,4.7500,179,179,170
FOXX,2026-06-04,5.0800,7.9000,5.2500,176,56,176
SBEV,2026-06-03,0.1410,0.3890,0.2420,176,176,174
BRTX,2026-05-27,0.4032,0.6800,0.4329,172,69,172
GLE,2026-06-09,0.4310,1.0800,0.4400,171,151,171
PN,2026-06-08,2.9900,7.9800,4.2100,170,167,170
YOOV,2026-05-14,1.4100,1.8500,1.2200,167,31,167
LASE,2026-06-02,1.2050,2.4700,2.4200,166,105,166
PCTTU,2026-05-29,16.5000,16.5000,14.7100,166,0,166
NXXT,2026-05-19,0.4100,1.0900,0.8200,166,166,166
WNW,2026-05-19,4.1100,6.3900,4.7500,165,55,165
SNBR,2026-06-05,0.3400,0.9000,0.4800,165,165,157
INM,2026-05-19,1.7900,1.8000,1.6000,164,1,164
BGMS,2026-06-05,2.7300,2.8000,1.5000,164,3,164
DXF,2026-05-14,1.2700,1.9900,1.7500,162,57,162
FLD,2026-06-10,1.3550,1.6000,0.7080,161,18,161
GMM,2026-06-09,10.6500,11.7500,5.4000,161,10,161
WGRX,2026-05-18,4.4500,10.9500,8.7000,161,146,161
WXM,2026-06-04,4.4400,9.9000,6.0000,161,123,161
BRAI,2026-05-26,8.6200,18.5900,12.4900,159,116,159
FCUV,2026-05-14,0.8500,2.0600,0.7180,157,142,157
DSS,2026-06-09,0.4260,1.0700,0.5020,155,151,155
FOFO,2026-06-01,2.1400,5.3500,2.9700,155,150,155
NTCL,2026-05-27,0.2650,0.6720,0.5550,155,154,155
ANY,2026-06-01,3.1650,4.8300,4.0200,154,53,154
