symbol,date,open,high,close,best_pct,intraday_pct,vs_prevclose_pct
SOBR,2026-06-10,0.7500,1.0700,0.9750,43,43,43
AIB,2026-05-22,2.3000,3.1500,2.8100,43,37,43
KWM,2026-06-10,0.2280,0.3250,0.2410,43,43,43
EHGO,2026-06-08,1.6120,2.1900,1.6500,43,36,43
DRNL,2026-05-28,15.1000,17.6200,16.9600,43,17,43
MLEC,2026-06-03,6.4600,9.2300,8.1000,43,43,35
CTNT,2026-06-02,2.5600,2.6000,1.6500,43,2,43
VIVO,2026-05-13,3.2700,4.4700,4.2300,43,37,43
NEBX,2026-05-13,37.4200,41.2857,38.1767,43,10,43
MTNB,2026-05-19,0.5510,0.7710,0.5570,43,40,43
MRLN,2026-06-05,9.1900,10.2500,8.6000,43,12,43
EZRA,2026-05-22,4.3100,5.4500,4.0000,43,26,43
EHLD,2026-05-21,8.6500,12.3400,8.6000,43,43,43
MMA,2026-06-09,0.7000,0.9300,0.8100,43,33,43
CTEV,2026-05-18,12.9100,18.4000,16.4200,43,43,33
MX,2026-05-29,8.0100,9.6700,8.8000,42,21,42
NBIG,2026-05-13,25.0600,27.9400,25.7900,42,11,42
FENC,2026-05-14,7.2000,9.6400,9.2400,42,34,42
ITP,2026-06-09,0.1900,0.2700,0.2600,42,42,42
TURB,2026-05-28,1.0900,1.4900,1.4200,42,37,42
BNBX,2026-06-01,0.4500,0.6100,0.5500,42,36,42
JBDI,2026-05-26,0.4230,0.6000,0.5500,42,42,42
NBIL,2026-05-13,35.8400,39.8100,36.7800,42,11,42
CRE,2026-06-01,3.6100,3.7400,3.2900,42,4,42
UFG,2026-06-09,0.7200,1.0200,1.0000,42,42,37
BNRG,2026-06-03,1.5600,1.9100,1.8200,41,22,41
HCWC,2026-06-01,0.4130,0.4710,0.3680,41,14,41
JDZG,2026-05-15,17.1000,23.6000,22.1000,41,38,41
RCAT,2026-05-28,12.4050,15.0600,14.1500,41,21,41
MXCT,2026-05-13,0.9400,1.1600,1.0200,41,23,41
GSUN,2026-06-05,0.3900,0.5500,0.4120,41,41,28
GWH,2026-05-13,0.8000,1.0900,0.9790,41,36,41
CRMT,2026-06-11,2.1000,2.9600,2.6900,41,41,25
ASTN,2026-05-29,4.1000,4.5100,4.1200,41,10,41
SACH,2026-05-18,1.1200,1.4500,1.3800,41,29,41
AMIX,2026-05-20,0.2840,0.3990,0.3370,40,40,40
RCON,2026-06-10,0.5700,0.8000,0.5800,40,40,40
IPWR,2026-05-14,5.3800,7.5500,7.3800,40,40,40
HLP,2026-05-29,0.4870,0.6830,0.6130,40,40,36
ASUP,2026-05-26,39.4200,48.0000,43.1300,40,22,40
MB,2026-06-09,7.9700,8.5000,6.5400,40,7,40
