1456929000,1,4329.22000
1459431000,1,4491.51000
1464269400,1,4479.07000
1468243800,1,4544.83000
1470663000,1,4791.60000
1474551000,1,4879.78000
1477402200,1,4908.68000
1481725800,1,4944.14000
1484663400,1,5043.57000
1487082600,1,5251.86000
1489671000,1,5421.96000
1490967000,1,5431.49000
1493645400,1,5602.94000
1496237400,1,5813.47000
1500471000,1,5898.90000
1504272600,1,6002.32000
1507296600,1,6037.94000
1509978600,1,6292.65000
1513607400,1,6505.39000
1516113000,1,6719.61000
1517236200,1,7001.18000
1520861400,1,7122.97000
1525959000,1,6909.68000
1529069400,1,7245.66000
1531488600,1,7372.78000
1535463000,1,7581.35000
1548167400,1,6737.15000
1551191400,1,7099.47000
1554384600,1,7542.66000
1560951000,1,7653.02000
1564061400,1,7979.64000
1567776600,1,7869.37000
1572269400,1,8071.89000
1574778600,1,8374.76000
1576247400,1,8461.92000
1578061800,1,8755.67000
1579271400,1,9159.98000
1580913000,1,9441.84000
1586957400,1,8548.97000
1590067800,1,9488.13000
1593005400,1,10184.27000
1594042200,1,10488.20000
1596634200,1,11107.74000
1598967000,1,12133.28000
1602509400,1,11900.62000
1606919400,1,12391.08000
1610375400,1,12962.00000
1612881000,1,13667.64000
1617629400,1,13434.54000
1623245400,1,13866.01000
1625664600,1,14736.25000
1628256600,1,15126.24000
1629811800,1,15339.42000
1634736600,1,15448.50000
1637332200,1,16559.06000
1640701800,1,16603.42000
1648042200,1,14525.72000
1658323800,1,12269.57000
1666791000,1,11410.29000
1668436200,1,11728.61000
1674570600,1,11803.45000
1679491800,1,12742.91000
1682947800,1,13229.61000
1685453400,1,14466.09000
1689255000,1,15432.98000
1699885800,1,15469.71000
1702391400,1,16210.11000
1705674600,1,17060.64000
1709562600,1,18290.60000
1715779800,1,18413.31000
1718285400,1,19609.55000
1727443800,1,20147.78000
1730989800,1,20896.91000
1733322600,1,21362.31000
1737642600,1,21737.74000
1739543400,1,22039.11000
1746192600,1,19987.11000
1749043800,1,21689.52000
1751895000,1,22754.88000
1754919000,1,23629.52000
1757683800,1,24031.27000
1761571800,1,25702.45000
1765204200,1,25759.32000
1769610600,1,26122.24000
1776087000,1,25069.57000
1777642200,1,27509.07000
1778851800,1,29191.86000
