1456237800,1,16610.89000
1458653400,1,17603.21000
1461159000,1,18059.99000
1465479000,1,17970.48000
1468243800,1,18162.03000
1478701800,1,18317.76000
1480343400,1,19122.64000
1481639400,1,19852.71000
1485441000,1,20076.75000
1486737000,1,20211.73000
1487860200,1,20746.91000
1493213400,1,21010.45000
1495805400,1,21070.65000
1500298200,1,21634.47000
1505309400,1,22103.97000
1507728600,1,22828.15000
1508765400,1,23349.45000
1511965800,1,23883.76000
1513175400,1,24525.69000
1515421800,1,25235.91000
1516113000,1,25703.49000
1517236200,1,26584.78000
1526391000,1,24810.05000
1531920600,1,25134.29000
1534858200,1,25787.49000
1537363800,1,26288.34000
1547735400,1,24147.59000
1550586600,1,25850.35000
1554211800,1,26214.05000
1560951000,1,26490.66000
1567776600,1,26790.75000
1572528600,1,27188.87000
1575037800,1,28103.66000
1576852200,1,28609.14000
1581085800,1,29287.42000
1586784600,1,23699.43000
1590586200,1,25299.13000
1594819800,1,27010.31000
1598362200,1,28347.92000
1602250200,1,28534.11000
1605018600,1,29254.67000
1609252200,1,30492.57000
1612881000,1,31360.38000
1615473000,1,32355.00000
1618234200,1,33775.56000
1620653400,1,34785.77000
1626096600,1,34837.25000
1627392600,1,35079.40000
1634563800,1,35221.52000
1640701800,1,36303.49000
1648560600,1,35114.85000
1658496600,1,32168.42000
1666618200,1,31187.82000
1669213800,1,34092.07000
1680615000,1,33595.29000
1686317400,1,33852.94000
1689773400,1,34991.71000
1699885800,1,34259.75000
1701441000,1,35914.95000
1702650600,1,37195.00000
1705933800,1,37920.05000
1708698600,1,39128.47000
1711027800,1,39661.53000
1715261400,1,39064.77000
1720704600,1,39695.68000
1724765400,1,41186.78000
1726579800,1,41724.28000
1728999000,1,43240.67000
1730989800,1,43719.42000
1737556200,1,44178.56000
1746451800,1,41173.88000
1751031000,1,43506.10000
1756128600,1,45605.75000
1759757400,1,46776.54000
1761571800,1,47413.30000
1765549800,1,48715.25000
1770647400,1,50048.29000
1775827800,1,48199.89000
1779456600,1,50435.15000
