rank,combo_id,TP_RR,SL_FRAC,MFE_TRAIL_FRAC,TRAIL_FRAC,n_trades,n_wins,net_WR_pct,gross_WR_pct,net_usd,gross_usd,cost_usd,mean_net_per_trade,PF,max_dd_usd,tp_count,trail_count,sl_count,be_count
29,24,4.000,0.500,0.550,0.750,953,297,31.16,63.48,-2947.33,-458.68,2488.65,-3.0927,0.1625,2958.73,12,593,348,0
30,14,4.000,0.700,0.550,0.500,948,333,35.13,70.68,-2948.79,-460.67,2488.12,-3.1105,0.1516,2954.80,2,668,278,0
31,28,4.000,0.500,0.750,0.750,954,281,29.45,63.73,-2952.98,-463.02,2489.97,-3.0954,0.1582,2964.38,12,596,346,0
32,22,4.000,0.700,0.950,0.500,950,329,34.63,70.63,-2954.10,-462.12,2491.98,-3.1096,0.1546,2959.36,2,669,279,0
33,18,4.000,0.700,0.750,0.500,950,329,34.63,70.63,-2954.10,-462.12,2491.98,-3.1096,0.1546,2959.36,2,669,279,0
34,32,4.000,0.500,0.950,0.750,953,281,29.49,63.69,-2954.19,-466.07,2488.11,-3.0999,0.1581,2965.58,12,595,346,0
35,1,4.000,0.600,0.550,0.250,960,332,34.58,68.54,-2976.96,-446.50,2530.46,-3.1010,0.1355,2978.93,1,657,302,0
36,5,4.000,0.600,0.750,0.250,960,332,34.58,68.54,-2976.96,-446.50,2530.46,-3.1010,0.1355,2978.93,1,657,302,0
37,9,4.000,0.600,0.950,0.250,960,332,34.58,68.54,-2976.96,-446.50,2530.46,-3.1010,0.1355,2978.93,1,657,302,0
38,57,4.000,0.600,0.950,2.000,941,284,30.18,66.95,-2979.81,-506.18,2473.64,-3.1666,0.1648,3003.21,19,611,311,0
39,36,4.000,0.500,0.550,1.000,953,296,31.06,63.48,-2988.73,-495.86,2492.88,-3.1361,0.1534,3000.13,12,593,348,0
40,40,4.000,0.500,0.750,1.000,955,278,29.11,63.46,-2994.95,-499.78,2495.17,-3.1361,0.1540,3006.34,15,591,349,0
41,49,4.000,0.600,0.550,2.000,948,313,33.02,67.09,-3011.51,-516.00,2495.51,-3.1767,0.1529,3012.41,10,626,312,0
42,37,4.000,0.600,0.550,1.000,948,314,33.12,67.09,-3013.75,-518.97,2494.78,-3.1791,0.1521,3017.83,7,629,312,0
43,4,4.000,0.500,0.750,0.250,960,313,32.60,64.27,-3013.92,-502.32,2511.60,-3.1395,0.1325,3014.32,1,616,343,0
44,8,4.000,0.500,0.950,0.250,960,313,32.60,64.27,-3013.92,-502.32,2511.60,-3.1395,0.1325,3014.32,1,616,343,0
45,0,4.000,0.500,0.550,0.250,960,313,32.60,64.27,-3013.92,-502.32,2511.60,-3.1395,0.1325,3014.32,1,616,343,0
46,44,4.000,0.500,0.950,1.000,953,271,28.44,63.27,-3014.59,-524.55,2490.05,-3.1633,0.1518,3025.99,15,588,350,0
47,48,4.000,0.500,0.550,2.000,954,297,31.13,63.42,-3023.98,-528.38,2495.60,-3.1698,0.1455,3035.38,12,593,349,0
48,20,4.000,0.500,0.950,0.500,956,294,30.75,63.91,-3025.04,-520.85,2504.20,-3.1643,0.1353,3025.45,3,608,345,0
49,16,4.000,0.500,0.750,0.500,956,294,30.75,63.91,-3025.04,-520.85,2504.20,-3.1643,0.1353,3025.45,3,608,345,0
50,25,4.000,0.600,0.550,0.750,955,318,33.30,66.91,-3025.73,-519.00,2506.73,-3.1683,0.1570,3032.11,6,633,316,0
51,12,4.000,0.500,0.550,0.500,955,300,31.41,63.77,-3026.41,-528.47,2497.94,-3.1690,0.1343,3026.82,3,606,346,0
52,52,4.000,0.500,0.750,2.000,951,276,29.02,63.09,-3060.04,-572.91,2487.14,-3.2177,0.1417,3071.44,18,582,351,0
53,45,4.000,0.600,0.950,1.000,948,292,30.80,66.77,-3063.57,-576.64,2486.93,-3.2316,0.1497,3067.15,10,623,315,0
54,29,4.000,0.600,0.750,0.750,955,301,31.52,66.81,-3070.53,-569.26,2501.27,-3.2152,0.1506,3076.41,6,632,317,0
55,33,4.000,0.600,0.950,0.750,955,301,31.52,66.81,-3071.74,-570.47,2501.27,-3.2165,0.1505,3077.63,6,632,317,0
56,41,4.000,0.600,0.750,1.000,949,296,31.19,66.60,-3075.67,-585.84,2489.83,-3.2410,0.1500,3079.26,10,622,317,0
57,13,4.000,0.600,0.550,0.500,954,315,33.02,66.98,-3103.83,-592.82,2511.01,-3.2535,0.1340,3104.73,2,637,315,0
58,56,4.000,0.500,0.950,2.000,946,263,27.80,63.11,-3108.99,-630.29,2478.70,-3.2865,0.1260,3120.39,17,580,349,0
59,17,4.000,0.600,0.750,0.500,955,310,32.46,66.81,-3122.83,-606.43,2516.39,-3.2700,0.1365,3123.23,2,636,317,0
60,21,4.000,0.600,0.950,0.500,955,310,32.46,66.81,-3122.83,-606.43,2516.39,-3.2700,0.1365,3123.23,2,636,317,0
