entryTs,symbol,side,engine,entryPrice,exitPrice,pnl,mfe,mae,hold_sec,exitReason,spreadAtEntry,latencyMs,regime
1704164979,XAUUSD,LONG,GoldFlowEngine,2068.80000,2070.28000,0.0592,0.0768,0.0000,7201,MAX_HOLD_TIMEOUT,0.2900,0.00,FLOW
1704172389,XAUUSD,LONG,GoldFlowEngine,2071.53000,2074.51000,0.1192,0.1418,0.0000,3600,MAX_HOLD_TIMEOUT,0.3100,0.00,FLOW
1704176503,XAUUSD,LONG,GoldFlowEngine,2076.32000,2075.64000,-0.0272,0.0198,0.0000,3600,MAX_HOLD_TIMEOUT,0.3100,0.00,FLOW
1704180218,XAUUSD,LONG,GoldFlowEngine,2076.55000,2073.32000,-0.1292,0.0000,0.0000,3601,MAX_HOLD_TIMEOUT,0.2900,0.00,FLOW
1704184494,XAUUSD,LONG,GoldFlowEngine,2073.73000,2076.30000,0.1028,0.1100,0.0000,3600,MAX_HOLD_TIMEOUT,0.3400,0.00,FLOW
1704188133,XAUUSD,LONG,GoldFlowEngine,2077.07000,2071.05000,-0.2408,0.0764,0.0000,7200,MAX_HOLD_TIMEOUT,0.3300,0.00,FLOW
1704197003,XAUUSD,SHORT,GoldFlowEngine,2067.11000,2068.05000,-0.0376,0.0778,0.0000,3600,MAX_HOLD_TIMEOUT,0.4100,0.00,FLOW
1704200646,XAUUSD,SHORT,GoldFlowEngine,2066.84000,2065.84000,0.0400,0.0756,0.0000,3600,MAX_HOLD_TIMEOUT,0.3200,0.00,FLOW
1704204460,XAUUSD,LONG,GoldFlowEngine,2067.41000,2068.80000,0.0556,0.1336,0.0000,3600,MAX_HOLD_TIMEOUT,0.3400,0.00,FLOW
1704208148,XAUUSD,SHORT,GoldFlowEngine,2067.07000,2062.18000,0.0636,0.0657,0.0000,1677,PARTIAL_1R,0.3100,0.00,FLOW
1704208148,XAUUSD,SHORT,GoldFlowEngine,2067.07000,2058.44000,0.2330,0.2716,0.0000,1690,TRAIL_HIT,0.3100,0.00,FLOW
1704209851,XAUUSD,SHORT,GoldFlowEngine,2057.03000,2064.61000,-0.3032,0.0308,0.0000,1856,SL_HIT,0.2700,0.00,FLOW
