ts_ms_entry,ts_ms_exit,side,entry_price,exit_price,exit_reason,duration_s,gross_pts,gross_usd,spread_at_entry_pts,modeled_cost_usd,net_usd,hour_utc,vol_regime
1709737490521,1709738648953,S,2134.440,2144.145,SL_HIT,1158,-9.7050,-9.7050,0.5100,1.6800,-11.3850,15,2
1709904608859,1709904644317,S,2156.960,2166.585,SL_HIT,36,-9.6250,-9.6250,0.6600,1.9800,-11.6050,13,2
1710246760785,1710247143746,L,2175.186,2177.658,TRAIL_HIT,383,2.4715,2.4715,0.4920,1.6440,0.8275,12,2
1711532652885,1711537300267,L,2193.128,2195.595,TRAIL_HIT,4648,2.4665,2.4665,0.4210,1.5020,0.9645,9,2
1711658961021,1711922461083,L,2234.249,2239.235,TRAIL_HIT,263500,4.9865,4.9865,0.5110,1.6820,3.3045,20,2
1712066619119,1712068092147,L,2273.551,2276.045,TRAIL_HIT,1473,2.4945,2.4945,0.2410,1.1420,1.3525,14,2
1712257328268,1712257336482,S,2295.271,2292.975,TRAIL_HIT,8,2.2965,2.2965,0.3670,1.3940,0.9025,19,2
1712320206000,1712320239807,S,2286.886,2284.396,TRAIL_HIT,33,2.4895,2.4895,0.3970,1.4540,1.0355,12,2
1712752206847,1712752253363,S,2340.975,2337.395,TRAIL_HIT,47,3.5800,3.5800,0.5570,1.7740,1.8060,12,2
1712770299831,1712770469350,L,2341.345,2343.845,TRAIL_HIT,170,2.5000,2.5000,0.4400,1.5400,0.9600,17,2
1712935911240,1712936001575,S,2382.209,2391.446,SL_HIT,90,-9.2375,-9.2375,0.5570,1.7740,-11.0115,15,2
1713387056311,1713387142050,S,2362.730,2359.175,TRAIL_HIT,86,3.5550,3.5550,0.4910,1.6420,1.9130,20,2
1713447360477,1713447892706,S,2378.769,2376.315,TRAIL_HIT,532,2.4545,2.4545,0.3970,1.4540,1.0005,13,2
1714739402778,1714739544167,L,2307.055,2313.185,TRAIL_HIT,142,6.1300,6.1300,0.9270,2.5140,3.6160,12,2
1714743146662,1714743552951,S,2291.460,2285.132,TRAIL_HIT,406,6.3280,6.3280,0.5400,1.7400,4.5880,13,2
1714744804702,1714745528760,L,2301.495,2291.016,SL_HIT,724,-10.4790,-10.4790,2.3640,5.3880,-15.8670,14,2
1715776204039,1715776208463,L,2371.827,2374.195,TRAIL_HIT,4,2.3685,2.3685,1.0870,2.8340,-0.4655,12,2
1717423210135,1717425629583,L,2342.260,2344.755,TRAIL_HIT,2419,2.4950,2.4950,0.4900,1.6400,0.8550,14,2
1717763404374,1717763660369,S,2325.615,2320.205,TRAIL_HIT,256,5.4100,5.4100,0.6610,1.9820,3.4280,12,2
1718195409131,1718195611169,L,2325.538,2327.984,TRAIL_HIT,202,2.4465,2.4465,2.0270,4.7140,-2.2675,12,2
1718281809496,1718281834747,L,2316.275,2318.745,TRAIL_HIT,25,2.4700,2.4700,0.4110,1.4820,0.9880,12,2
1720182602092,1720182603416,S,2352.411,2351.102,TRAIL_HIT,1,1.3090,1.3090,0.1000,0.8600,0.4490,12,2
1720701001777,1720705292730,L,2389.417,2400.015,TRAIL_HIT,4291,10.5985,10.5985,0.7220,2.1040,8.4945,12,2
1721910606276,1721910913061,S,2367.110,2364.615,TRAIL_HIT,307,2.4950,2.4950,0.8770,2.4140,0.0810,12,2
1722358921184,1722359406334,L,2410.979,2402.735,SL_HIT,485,-8.2445,-8.2445,0.4900,1.6400,-9.8845,17,2
