kind,sb,hb,n,n_wins,sum_winner,sum_loser
J,0,0,0,0,0,0
J,0,1,0,0,0,0
J,0,2,0,0,0,0
J,0,3,0,0,0,0
J,0,4,0,0,0,0
J,0,5,0,0,0,0
J,0,6,0,0,0,0
J,0,7,0,0,0,0
J,0,8,2,2,4.9215,0
J,0,9,1,1,2.4665,0
J,0,10,1,1,2.47,0
J,0,11,1,1,3.4785,0
J,0,12,13,12,27.2975,-10.182
J,0,13,4,3,7.375,-8.6275
J,0,14,6,4,9.88,-18.0085
J,0,15,1,1,2.425,0
J,0,16,2,2,4.955,0
J,0,17,5,3,7.2915,-16.9245
J,0,18,0,0,0,0
J,0,19,4,3,8.242,-9.267
J,0,20,3,2,6.015,-9.785
J,0,21,2,2,3.766,0
J,0,22,0,0,0,0
J,0,23,0,0,0,0
J,1,0,0,0,0,0
J,1,1,0,0,0,0
J,1,2,0,0,0,0
J,1,3,0,0,0,0
J,1,4,0,0,0,0
J,1,5,0,0,0,0
J,1,6,37,26,66.094,-99.371
J,1,7,38,28,113.322,-91.319
J,1,8,42,33,127.754,-80.3405
J,1,9,35,22,56.803,-119.175
J,1,10,35,25,65.6735,-94.6085
J,1,11,35,27,99.5185,-72.365
J,1,12,60,42,197.623,-164.124
J,1,13,77,57,173.027,-198.172
J,1,14,119,91,289.953,-255.356
J,1,15,89,63,221.359,-239.348
J,1,16,62,44,150.078,-156.887
J,1,17,41,28,74.856,-127.266
J,1,18,41,22,64.5125,-173.979
J,1,19,43,34,119.459,-85.0575
J,1,20,47,34,89.1575,-124.209
J,1,21,29,19,48.788,-102.029
J,1,22,0,0,0,0
J,1,23,0,0,0,0
J,2,0,0,0,0,0
J,2,1,0,0,0,0
J,2,2,0,0,0,0
J,2,3,0,0,0,0
J,2,4,0,0,0,0
J,2,5,0,0,0,0
J,2,6,14,12,29.07,-18.51
J,2,7,12,9,21.9125,-27.7895
J,2,8,16,11,30.2765,-52.046
J,2,9,14,10,20.5735,-35.855
J,2,10,10,6,15.4845,-44.179
J,2,11,8,6,15.668,-18.52
J,2,12,19,13,32.5885,-62.53
J,2,13,20,14,37.5865,-65.1005
J,2,14,27,21,61.479,-61.94
J,2,15,21,12,27.243,-100.329
J,2,16,20,13,30.6915,-84.449
J,2,17,15,13,37.4635,-22.3325
J,2,18,16,13,29.7155,-32.709
J,2,19,15,14,30.91,-15.07
J,2,20,9,3,9.0145,-59.8485
J,2,21,6,5,11.187,-10.4835
J,2,22,0,0,0,0
J,2,23,0,0,0,0
J,3,0,0,0,0,0
J,3,1,0,0,0,0
J,3,2,0,0,0,0
J,3,3,0,0,0,0
J,3,4,0,0,0,0
J,3,5,0,0,0,0
J,3,6,7,6,11.0235,-12.425
J,3,7,2,1,2.5,-10.4185
J,3,8,3,2,4.613,-16.301
J,3,9,1,1,2.135,0
J,3,10,2,2,5.378,0
J,3,11,4,4,9.125,0
J,3,12,5,3,6.5355,-24.759
J,3,13,8,7,16.1925,-8.6475
J,3,14,10,7,20.451,-37.3005
J,3,15,11,10,23.824,-10.19
J,3,16,8,4,11.575,-45.192
J,3,17,4,2,4.6215,-20.0785
J,3,18,3,3,6.627,0
J,3,19,2,1,2.23,-12.51
J,3,20,5,5,11.3635,0
J,3,21,4,3,6.968,-9.455
J,3,22,0,0,0,0
J,3,23,0,0,0,0
J,4,0,0,0,0,0
J,4,1,0,0,0,0
J,4,2,0,0,0,0
J,4,3,0,0,0,0
J,4,4,0,0,0,0
J,4,5,0,0,0,0
J,4,6,0,0,0,0
J,4,7,2,2,4.5215,0
J,4,8,2,2,4.0615,0
J,4,9,5,3,7.353,-23.1815
J,4,10,1,1,2.3465,0
J,4,11,1,0,0,-10.93
J,4,12,5,4,8.6845,-9.5835
J,4,13,2,2,21.653,0
J,4,14,2,0,0,-24.4185
J,4,15,2,1,1.9965,-11.9235
J,4,16,8,7,15.4675,-11.4335
J,4,17,3,2,4.6565,-15.2565
J,4,18,1,0,0,-9.37
J,4,19,1,1,2.49,0
J,4,20,0,0,0,0
J,4,21,0,0,0,0
J,4,22,0,0,0,0
J,4,23,0,0,0,0
J,5,0,0,0,0,0
J,5,1,0,0,0,0
J,5,2,0,0,0,0
J,5,3,0,0,0,0
J,5,4,0,0,0,0
J,5,5,0,0,0,0
J,5,6,0,0,0,0
J,5,7,0,0,0,0
J,5,8,0,0,0,0
J,5,9,1,1,1.683,0
J,5,10,0,0,0,0
J,5,11,0,0,0,0
J,5,12,0,0,0,0
J,5,13,1,1,1.9345,0
J,5,14,2,2,4.85,0
J,5,15,3,2,3.47,-16.3415
J,5,16,1,1,2.28,0
J,5,17,2,2,4.0615,0
J,5,18,0,0,0,0
J,5,19,1,1,10.238,0
J,5,20,2,2,2.9795,0
J,5,21,0,0,0,0
J,5,22,0,0,0,0
J,5,23,0,0,0,0
S,0,-1,45,37,90.5835,-72.7945
S,1,-1,830,595,1957.98,-2183.61
S,2,-1,242,175,440.864,-711.692
S,3,-1,79,61,145.163,-207.277
S,4,-1,35,25,73.2305,-116.097
S,5,-1,13,12,31.4965,-16.3415
G,-1,-1,1244,905,2739.31,-3307.81
